,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Банкомат,Кредит,Расположение,Ремонт,График работы,Страхование,Ипотека,Вклад
10,1045351204,Альфа-Банк,"Русаковская ул., 29, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.787877,37.677067,"4,4",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",62,61,64,48,64,52,93,,,,,
11,71619330774,Альфа-Банк,"Покровская ул., 20, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.701866,37.931650,"4,3",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",69,65,68,71,55,65,100,,38,,,
12,154991580164,Альфа-Банк,"Автозаводская ул., 5, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.708460,37.662084,"4,4",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",57,56,60,53,72,43,94,,,,,20
13,60318410459,Альфа-Банк,"3-й Крутицкий пер., 13, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.730548,37.663513,"4,1",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",52,44,55,43,,,,,,,,
14,39652021738,Альфа-Банк,"9-я Парковая ул., 23, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.795044,37.798799,"4,3",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",56,56,59,49,48,58,92,,,,,
15,189299966920,Альфа-Банк,"Уральская ул., 1, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.811634,37.797729,"4,3",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",68,65,66,68,68,59,100,,36,,,67
16,1078085453,Альфа-Банк,"Нижняя Красносельская ул., 45/17, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.772882,37.676313,"4,3",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",70,69,71,62,71,76,100,67,,,,
17,1178226406,Альфа-Банк,"ш. Энтузиастов, 7/1, Балашиха",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.795469,37.933977,"4,3",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",61,57,65,50,53,37,62,46,,,,55
18,224344887474,Альфа-Банк,"Пролетарская ул., 2, корп. 2, микрорайон Железнодорожный, Балашиха",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-18:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной",55.750282,38.006831,"4,8",['+7 (495) 755-58-58Показать телефон'],['https://t.me/alfabank'],85,87,90,85,,76,90,,,,,
19,133808663530,Альфа-Банк,"Вельяминовская ул., 6, стр. 2, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-19:00, 'thu': выходной, 'fri': 10:00-18:00, 'sat': 10:00-18:00, 'sun': выходной",55.781834,37.722989,"4,3",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",55,52,55,49,50,55,85,,,,,
