,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Обслуживание,Персонал,Отношение к клиентам,Время ожидания,Банкомат,Расположение,График работы,Ипотека,Кредит
15,1075904003,СберБанк,"просп. Октября, 3, Автозаводский район, жилой район Соцгород, микрорайон Соцгород-1, Нижний Новгород",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",56.243599,43.862911,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",68,74,68,59,71,84,,63,69
16,1209002488,СберБанк,"Октябрьская ул., 35, Нижний Новгород",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",56.322173,44.009955,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",57,63,50,47,52,80,22,81,45
17,1054213295,СберБанк,"Молодёжный просп., 28А, Нижний Новгород",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",56.242764,43.853227,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,84,82,63,61,100,,,
18,62468133526,СберБанк,"ул. Дьяконова, 24А, Нижний Новгород",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",56.262681,43.883839,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,85,84,63,86,88,67,,
19,1242253857,СберБанк,"Космическая ул., 51, Нижний Новгород",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",56.230057,43.820756,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,79,70,62,53,,,,
20,1057341779,СберБанк,"Заречная ул., 3, Нижний Новгород",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",56.290010,43.857001,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,88,84,76,57,100,,,
21,1144552090,СберБанк,"Союзный просп., 3А, Нижний Новгород",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-18:00, 'sun': выходной",56.358388,43.856403,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,88,85,67,78,95,64,,
22,20863466082,СберБанк,"ул. Героя Затылкова, 2А, рабочий посёлок Решетиха",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-13:00,13:45-18:00, 'wed': 09:00-13:00,13:45-18:00, 'thu': 09:00-13:00,13:45-18:00, 'fri': 09:00-13:00,13:45-18:00, 'sat': 09:00-13:00,13:45-18:00, 'sun': выходной",56.217010,43.296946,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,
23,1036704405,СберБанк,"ул. Плотникова, 5, Нижний Новгород",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-18:30, 'sun': выходной",56.258536,43.853283,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,78,77,78,58,89,,,
24,1129236098,СберБанк,"просп. Ленина, 29, Нижний Новгород",www.sberbank.ru,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-18:30, 'sun': выходной",56.288862,43.930093,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,88,78,67,50,100,,,
