,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Кредит,Банкомат,Расположение,График работы,Ипотека,Ремонт,Страхование,load_time
10,alfa_bank/39652021738,Альфа-Банк,"9-я Парковая ул., 23, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.795044,37.798799,"4,3",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",60,52,68,48,90,40,,,,2024-08-26 01:19:19
11,alfa_bank/28258577430,Альфа-Банк,"ул. Мира, 26А, Мытищи",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.916623,37.726736,"4,4",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",67,63,47,61,89,53,,,,2024-08-26 01:19:19
12,alfa_bank/60318410459,Альфа-Банк,"3-й Крутицкий пер., 13, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.730548,37.663513,"4,6",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",68,58,71,,,,,,,2024-08-26 01:19:19
13,alfa_bank/164819686969,Альфа-Банк,"просп. Космонавтов, 27Б, Королёв",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.913520,37.868382,"4,4",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",68,57,52,53,69,,,,6,2024-08-26 01:19:19
14,alfa_bank/91699299995,Альфа-Банк,"ул. Маршала Чуйкова, 3, Москва",alfabank.ru,"'mon': 09:00-21:00, 'tue': 09:00-21:00, 'wed': 09:00-21:00, 'thu': 09:00-21:00, 'fri': 09:00-21:00, 'sat': 10:00-18:00, 'sun': 12:00-17:00",55.703885,37.764986,"4,5",['+7 (495) 755-58-58Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",57,45,35,89,93,54,,,,2024-08-26 01:19:19
15,alfa_bank/59637618712,Альфа-Банк,"бул. Энтузиастов, 2, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': выходной, 'sun': выходной",55.746482,37.682619,"4,3",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",73,67,72,58,91,,,,,2024-08-26 01:19:19
16,alfa_bank/133808663530,Альфа-Банк,"Вельяминовская ул., 6, стр. 2, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.781834,37.722989,"4,3",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",61,54,67,48,88,,,,,2024-08-26 01:19:19
17,alfa_bank/1045351204,Альфа-Банк,"Русаковская ул., 29, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.787877,37.677067,"4,4",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",68,55,61,66,94,,,,0,2024-08-26 01:19:19
18,alfa_bank/224344887474,Альфа-Банк,"Пролетарская ул., 2, корп. 2, микрорайон Железнодорожный, Балашиха",alfabank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",55.750282,38.006831,"4,8",['+7 (495) 755-58-58Показать телефон'],['https://t.me/alfabank'],87,81,71,82,92,,,,,2024-08-26 01:19:19
19,alfa_bank/1078085453,Альфа-Банк,"Нижняя Красносельская ул., 45/17, Москва",alfabank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",55.772882,37.676313,"4,3",['+7 (495) 788-88-78Показать телефон'],"['https://ok.ru/alfabank', 'https://t.me/alfabank', 'https://vk.com/alfabank', 'https://www.youtube.com/user/alfabankru']",72,65,79,70,100,,,64,,2024-08-26 01:19:19
