,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Ипотека,Расположение,Банкомат,Кредит,Ремонт,График работы,load_time
11,sberbank/1043800884,СберБанк,"Свободный просп., 28А, Красноярск",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",56.024260,92.819361,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",96,62,,87,60,,,,2024-08-05 05:43:10
12,sberbank/1023051210,СберБанк,"ул. Калинина, 8, Красноярск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.034456,92.821606,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",88,80,,,75,,,,2024-08-05 05:43:10
13,sberbank/1647959475,СберБанк,"ул. 60 лет Октября, 45, Красноярск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.977838,92.854108,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",87,83,,100,63,,,,2024-08-05 05:43:10
14,sberbank/202252163726,СберБанк,"ул. Алексеева, 49, Красноярск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.047882,92.907773,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,56,,,,,,,2024-08-05 05:43:10
15,sberbank/1208994017,СберБанк,"Судостроительная ул., 90, Красноярск",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-18:30, 'fri': 09:00-19:00, 'sat': 09:30-16:00, 'sun': выходной, ",55.984854,92.855986,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://t.me/sberbank', 'https://vk.com/sberbank']",93,89,,100,,,,,2024-08-05 05:43:10
16,sberbank/1057789955,СберБанк,"ул. Копылова, 48, Красноярск",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной, ",56.012959,92.819433,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,81,,,36,,,,2024-08-05 05:43:10
17,sberbank/1253037283,СберБанк,"ул. Партизана Железняка, 19Г, Красноярск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",56.032801,92.923278,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",95,91,,,,,,,2024-08-05 05:43:10
18,sberbank/1045159698,СберБанк,"ул. Копылова, 76, Красноярск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",56.012994,92.806048,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,77,,90,,,,,2024-08-05 05:43:10
19,sberbank/47832924613,СберБанк,"ул. Воронова, 18, микрорайон Зелёная Роща, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-16:00, 'sun': выходной, ",56.057674,92.949554,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",88,80,,,83,,,,2024-08-05 05:43:10
20,sberbank/13312804259,СберБанк,"ул. Водопьянова, 11, микрорайон Северный, Красноярск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-16:00, 'sun': выходной, ",56.059700,92.909911,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",87,62,,100,50,,,,2024-08-05 05:43:10
21,sberbank/1582873531,СберБанк,"просп. имени Газеты Красноярский Рабочий, 47, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:30, 'sun': выходной, ",56.010005,92.963541,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sberbank']",95,67,,,63,,,,2024-08-05 05:43:10
22,sberbank/1099572281,СберБанк,"просп. Металлургов, 45А, Красноярск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:00, 'sun': выходной, ",56.052451,92.957884,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",98,81,,85,78,,,,2024-08-05 05:43:10
23,sberbank/112842496408,СберБанк,"ул. Алексеева, 49, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",56.047882,92.907773,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 05:43:10
24,sberbank/1057776752,СберБанк,"просп. имени Газеты Красноярский Рабочий, 52, Красноярск",,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-15:00, 'sun': выходной, ",56.014932,92.977743,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,81,,,,,64,,2024-08-05 05:43:10
25,sberbank/1573367531,СберБанк,"Высотная ул., 27, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:30, 'sun': выходной, ",56.026805,92.779422,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,59,,,45,,,,2024-08-05 05:43:10
26,sberbank/1217138476,СберБанк,"просп. имени Газеты Красноярский Рабочий, 181, Красноярск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.992895,92.893175,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,65,,,64,,,,2024-08-05 05:43:10
27,sberbank/1263089782,СберБанк,"ул. Александра Матросова, 18, Красноярск",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:00-18:00, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.986113,92.886492,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,65,,,,,,,2024-08-05 05:43:10
28,sberbank/1165061212,СберБанк,"ул. Тотмина, 1Г, микрорайон Северо-Западный, Красноярск",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной, ",56.030865,92.774634,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,74,,85,67,,,,2024-08-05 05:43:10
29,sberbank/1127785995,СберБанк,"ул. Щорса, 15, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-15:30, 'sun': выходной, ",55.993560,92.965238,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,57,,100,50,,,,2024-08-05 05:43:10
30,sberbank/1178063465,СберБанк,"ул. Петра Словцова, 16, микрорайон Ветлужанка, Красноярск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",56.027243,92.745371,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,42,,77,,,,0,2024-08-05 05:43:10
31,sberbank/165143711287,СберБанк,"ул. Академика Павлова, 48, Красноярск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",55.995050,92.948476,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",97,62,,,,,,,2024-08-05 05:43:10
32,sberbank/1219502667,СберБанк,"Краснодарская ул., 8, Красноярск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:30-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",56.046097,92.939834,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",75,67,,,,,,,2024-08-05 05:43:10
33,sberbank/1008308062,СберБанк,"ул. Тельмана, 28В, микрорайон Зелёная Роща, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:30, 'sun': выходной, ",56.054684,92.976180,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,87,,,90,,,,2024-08-05 05:43:10
34,sberbank/1137733384,СберБанк,"просп. имени Газеты Красноярский Рабочий, 26, Красноярск",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",56.021815,93.008007,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,94,,80,,,,,2024-08-05 05:43:10
35,sberbank/1138025428,СберБанк,"Львовская ул., 35, микрорайон Энергетики, Красноярск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.998947,93.016182,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",95,52,,,36,,,,2024-08-05 05:43:10
36,sberbank/1189128190,СберБанк,"просп. 60 лет Образования СССР, 31, Красноярск",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",56.109963,92.913702,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",88,65,,64,80,,,,2024-08-05 05:43:10
37,sberbank/1558192326,СберБанк,"ул. Шевченко, 28, Красноярск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:00, 'sun': выходной, ",55.996208,93.030537,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",87,94,,,50,,,,2024-08-05 05:43:10
38,sberbank/1192405159,СберБанк,"Молодёжный просп., 7, Красноярск",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:30-14:00, 'sun': выходной, ",56.119379,92.925524,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,71,,,50,,,,2024-08-05 05:43:10
