,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,График работы,Расположение,Ипотека,Кредит,Ремонт,load_time
13,sberbank/1554926299,СберБанк,"просп. Мира, 5А, Фрязино",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.949990,38.047856,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,60,,,,,,,2024-07-30 10:14:54
14,sberbank/1225301884,СберБанк,"ул. Жуковского, 1, микрорайон Щёлково-3, Щёлково",www.sberbank.com,"'mon': выходной, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-16:30, 'sun': выходной, ",55.906885,38.061529,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",93,29,25,18,,,,,2024-07-30 10:14:54
15,sberbank/71271587509,СберБанк,"ул. Алексея Короткова, с5, рабочий посёлок Свердловский",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.900133,38.144641,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",88,49,44,27,92,,,,2024-07-30 10:14:54
16,sberbank/1337817752,СберБанк,"8, микрорайон Богородский, Щёлково",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.939020,37.974266,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,39,11,33,82,,,,2024-07-30 10:14:54
17,sberbank/1015567982,СберБанк,"Вокзальная ул., 15, Фрязино",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной, ",55.960861,38.046437,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,62,55,,,,,,2024-07-30 10:14:54
18,sberbank/90108806638,СберБанк,"15, посёлок Звёздный городок",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",55.877794,38.105447,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-30 10:14:54
19,sberbank/1056708824,СберБанк,"Студенческий пр., 2, Ивантеевка",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-15:30, 'sun': выходной, ",55.977410,37.907198,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,63,82,77,97,77,75,,2024-07-30 10:14:54
20,sberbank/1186173855,СберБанк,"ул. Объединения, 7/27, Балашиха",www.sberbank.com,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-17:00, 'sun': выходной, ",55.826458,37.970116,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",73,72,86,81,92,,31,,2024-07-30 10:14:54
21,sberbank/1356705930,СберБанк,"1-й Советский пер., 12, Щёлково",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",55.919055,37.998072,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,54,38,,82,,,,2024-07-30 10:14:54
22,sberbank/1059341981,СберБанк,"ул. Толмачёва, 2, Ивантеевка",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",55.966706,37.913163,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,58,36,14,,,,,2024-07-30 10:14:54
