,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Время ожидания,Персонал,Банкомат,Расположение,Ипотека,Ремонт,load_time
11,sberbank/1401958080,СберБанк,"ул. Розы Люксембург, 297А, Иркутск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",C52.35640,104.15374,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,97,56,100,,,2024-08-05 02:12:51
12,sberbank/125553254245,СберБанк,"47А, микрорайон Юбилейный, Иркутск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-15:30, 'sun': выходной, ",C52.22181,104.30468,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,91,91,91,,,2024-08-05 02:12:51
13,sberbank/1076706269,СберБанк,"32, микрорайон Приморский, Иркутск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C52.23159,104.30844,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",32,82,,,,,2024-08-05 02:12:51
14,sberbank/138901311108,СберБанк,"ул. Нижняя Набережная, 10, Иркутск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C52.29322,104.28726,"4,5",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,2024-08-05 02:12:51
15,sberbank/1081880934,СберБанк,"16, 8-й квартал, Шелехов",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",C52.20956,104.09158,"4,4",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],52,93,54,,,,2024-08-05 02:12:51
16,sberbank/1019766468,СберБанк,"ул. Дзержинского, 27А, Иркутск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 11:00-17:00, 'sun': выходной, ",C52.28514,104.29624,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",70,85,,,,,2024-08-05 02:12:51
17,sberbank/1363167802,СберБанк,"Байкальская ул., 206, Иркутск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-15:30, 'sun': выходной, ",C52.25751,104.32740,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,77,,,,,2024-08-05 02:12:51
18,sberbank/1026114605,СберБанк,"просп. Маршала Жукова, 5/1, Иркутск",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:30-15:30, 'sun': выходной, ",C52.24971,104.35385,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,90,,,,,2024-08-05 02:12:51
19,sberbank/1000575896,СберБанк,"27А, микрорайон Первомайский, Иркутск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-15:30, 'sun': выходной, ",C52.25612,104.23519,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,80,,100,,,2024-08-05 02:12:51
20,sberbank/1003849234,СберБанк,"Академическая ул., 18, Иркутск",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной, ",C52.23450,104.28948,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",56,85,,100,,,2024-08-05 02:12:51
21,sberbank/1039151034,СберБанк,"ул. Дзержинского, 1, Иркутск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C52.27847,104.28523,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,78,,94,67,,2024-08-05 02:12:51
22,sberbank/1214512930,СберБанк,"ул. Декабрьских Событий, 105А, Иркутск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-14:30, 'sun': выходной, ",C52.28256,104.31182,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,88,73,100,,,2024-08-05 02:12:51
23,sberbank/27799391992,СберБанк,"43, микрорайон Университетский, Иркутск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",C52.25465,104.24769,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,92,67,,,,2024-08-05 02:12:51
24,sberbank/119155161196,СберБанк,"ул. Мира, 100А, Иркутск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",C52.34852,104.21800,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,87,50,100,,,2024-08-05 02:12:51
25,sberbank/1071302394,СберБанк,"7А, 1-й микрорайон, Шелехов",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': выходной, ",C52.21144,104.06850,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",63,89,,,,,2024-08-05 02:12:51
26,sberbank/1001577002,СберБанк,"Советская ул., 73, Иркутск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-14:30, 'sun': выходной, ",C52.28013,104.32882,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,92,73,91,,,2024-08-05 02:12:51
27,sberbank/1046340213,СберБанк,"ул. Лермонтова, 267/4, Иркутск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",C52.24824,104.26989,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,91,60,100,,,2024-08-05 02:12:51
28,sberbank/1079731891,СберБанк,"ул. Трилиссера, 57А, Иркутск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-16:00, 'sun': выходной, ",C52.27341,104.30936,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,84,68,100,,80,2024-08-05 02:12:51
29,sberbank/134413643593,СберБанк,"пр. Ербанова, 6, Иркутск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",C52.26477,104.31501,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",66,88,67,100,,,2024-08-05 02:12:51
