,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,График работы,Кредит,Ремонт,load_time
10,sberbank/1572348429,СберБанк,"просп. Ленина, 38, Челябинск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-15:30, 'sun': выходной, ",55.161497,61.417456,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",91,71,92,94,,,,,2024-08-05 04:46:47
11,sberbank/1245439949,СберБанк,"ул. Гагарина, 10, Челябинск",,"'mon': выходной, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.141902,61.440839,"4,2",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",93,56,,,,,,,2024-08-05 04:46:47
12,sberbank/1100684805,СберБанк,"ул. Героев Танкограда, 118, Челябинск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.168620,61.451934,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,82,,,,,,,2024-08-05 04:46:47
13,sberbank/1034938448,СберБанк,"ул. Мамина, 21В, Челябинск",,"'mon': выходной, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:15-14:00, 'sun': выходной, ",55.191932,61.484614,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,48,36,100,,,,,2024-08-05 04:46:47
14,sberbank/1156991982,СберБанк,"ул. Гагарина, 2, Челябинск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.146178,61.444648,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,69,30,,,,,,2024-08-05 04:46:47
15,sberbank/1175344722,СберБанк,"ул. Труда, 160, Челябинск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-14:00, 'sun': выходной, ",55.169411,61.377239,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,68,,100,59,,77,,2024-08-05 04:46:47
16,sberbank/1228243440,СберБанк,"Свердловский просп., 88, Челябинск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:30-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",55.152315,61.388836,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://t.me/s/sberbank', 'https://vk.com/sber']",83,55,40,90,,,,80,2024-08-05 04:46:47
17,sberbank/56478812212,СберБанк,"просп. Ленина, 18, Челябинск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.161096,61.442915,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,60,20,,,0,,,2024-08-05 04:46:47
18,sberbank/15238197678,СберБанк,"просп. Победы, 124, Челябинск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-14:30, 'sun': выходной, ",55.186433,61.431102,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,74,73,,,,,,2024-08-05 04:46:47
19,sberbank/1557752538,СберБанк,"ул. Калинина, 14, Челябинск",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.179682,61.397374,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,65,67,95,,88,,,2024-08-05 04:46:47
20,sberbank/1013047405,СберБанк,"просп. Ленина, 55А, Челябинск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.159867,61.398044,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",83,68,,,,,,,2024-08-05 04:46:47
21,sberbank/1023566927,СберБанк,"ул. Свободы, 88, Челябинск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.153967,61.413621,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,72,56,100,,82,,,2024-08-05 04:46:47
22,sberbank/1038541170,СберБанк,"Салютная ул., 25, Челябинск",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.169617,61.445395,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,68,57,,,,,,2024-08-05 04:46:47
23,sberbank/1000638415,СберБанк,"ул. Черняховского, 23, Копейск",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.136617,61.679351,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 04:46:47
24,sberbank/1081987756,СберБанк,"ул. Ленина, 25, Копейск",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.990866,61.475703,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 04:46:47
