,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Ипотека,Кредит,Расположение,Банкомат,График работы,Ремонт,load_time
10,sberbank/139368091940,СберБанк,"Ленинский просп., 34, Калининград",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",54.703759,20.504989,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 03:05:53
11,sberbank/1127089871,СберБанк,"ул. Александра Невского, 50, Калининград",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:00, 'sun': выходной, ",54.730931,20.531373,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,70,,,69,56,,,2024-08-05 03:05:53
12,sberbank/1090653343,СберБанк,"Батальная ул., 17А, Калининград",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:30-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.678193,20.496869,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,76,,,100,67,33,,2024-08-05 03:05:53
13,sberbank/1037580210,СберБанк,"ул. Елены Ковальчук, 3, Калининград",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.719945,20.473719,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",90,63,,,,,,,2024-08-05 03:05:53
14,sberbank/1046438294,СберБанк,"Интернациональная ул., 59, Калининград",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:00, 'sun': выходной, ",54.669769,20.508601,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,80,,,92,60,,,2024-08-05 03:05:53
15,sberbank/1184761730,СберБанк,"ул. Генерала Челнокова, 11, Калининград",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:00-17:00, 'sun': выходной, ",54.737492,20.487454,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,74,,,92,,,,2024-08-05 03:05:53
16,sberbank/1121144825,СберБанк,"ул. Дзержинского, 42, Калининград",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.692370,20.526909,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,70,,,,70,,,2024-08-05 03:05:53
17,sberbank/1048361962,СберБанк,"ул. Профессора Баранова, 34, Калининград",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-16:00, 'sun': выходной, ",54.721209,20.506203,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,71,,,,,,,2024-08-05 03:05:53
18,sberbank/1105295166,СберБанк,"Озёрная ул., 5, Калининград",,"'mon': 10:00-18:30, 'tue': 10:00-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': выходной, 'sun': выходной, ",54.736967,20.509320,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,77,,,100,91,,,2024-08-05 03:05:53
19,sberbank/1121485825,СберБанк,"ул. Юрия Гагарина, 99, Калининград",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.724994,20.549618,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,77,,,100,71,,,2024-08-05 03:05:53
20,sberbank/1064802745,СберБанк,"ул. Гайдара, 97, Калининград",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",54.739773,20.495638,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,53,,,,80,,,2024-08-05 03:05:53
21,sberbank/145722195262,СберБанк,"Шатурская ул., 8А, посёлок Васильково",,"'mon': выходной, 'tue': 09:45-17:45, 'wed': 09:45-17:45, 'thu': 09:45-17:45, 'fri': 09:45-17:45, 'sat': 10:00-16:00, 'sun': выходной, ",54.740901,20.582937,"3,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 03:05:53
