,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Кредит,Ремонт,График работы,Ипотека,load_time
11,sberbank/1019587550,СберБанк,"ул. Маршала Федоренко, 7, Москва",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",55.880342,37.489859,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",87,67,53,100,,,21,,2024-07-29 00:00:16
12,sberbank/1076982278,СберБанк,"Клязьминская ул., 9, стр. 2, Москва",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.890754,37.524444,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,60,62,91,,,14,,2024-07-29 00:00:16
13,sberbank/1245666277,СберБанк,"Юбилейный просп., 6А, Химки",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной, ",55.888897,37.428145,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,67,44,88,,82,29,,2024-07-29 00:00:16
14,sberbank/97771957388,СберБанк,"Коровинское ш., 21, корп. 1, Москва",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:00-18:00, 'sun': выходной, ",55.876462,37.524439,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,53,29,90,,,,,2024-07-29 00:00:16
15,sberbank/1006493872,СберБанк,"Коровинское ш., 5, корп. 1, Москва",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.866678,37.540228,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",80,66,69,93,,,50,,2024-07-29 00:00:16
16,sberbank/100505068395,СберБанк,"Шереметьевское ш., вл37, Химки",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.981354,37.414482,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,81,,,,,,,2024-07-29 00:00:16
17,sberbank/1089704371,СберБанк,"ул. Чехова, 15, Лобня",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.017236,37.477875,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,75,75,86,,,33,,2024-07-29 00:00:16
18,sberbank/6193269325,СберБанк,"Дубнинская ул., 16, корп. 1, Москва",www.sberbank.com,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:00-17:30, 'sun': выходной, ",55.868834,37.562919,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",74,47,49,88,,,39,,2024-07-29 00:00:16
19,sberbank/1046811405,СберБанк,"Коровинское ш., 20, корп. 1, Москва",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:30-17:30, 'sun': выходной, ",55.879556,37.522719,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",88,53,45,91,,50,,,2024-07-29 00:00:16
20,sberbank/1023265133,СберБанк,"Ленинградское ш., 112/1, Москва",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:00-16:30, 'sun': выходной, ",55.863763,37.465551,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",86,76,70,97,,,73,,2024-07-29 00:00:16
21,sberbank/169702077535,СберБанк,"Планерная ул., 12, корп. 1, Москва",www.sberbank.com,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 09:00-17:00, 'sun': выходной, ",55.862146,37.436633,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",77,67,93,94,,,,,2024-07-29 00:00:16
22,sberbank/1057513260,СберБанк,"Смольная ул., 35, стр. 1, Москва",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",55.860827,37.481244,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",95,86,52,80,,85,35,,2024-07-29 00:00:16
23,sberbank/1261868773,СберБанк,"Бескудниковский бул., 40, корп. 3, Москва",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-17:00, 'sun': выходной, ",55.874112,37.551222,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,41,42,70,,,47,,2024-07-29 00:00:16
24,sberbank/1156592777,СберБанк,"ул. Героев Панфиловцев, 16, корп. 1, Москва",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-15:00, 'sun': выходной, ",55.858822,37.424300,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,67,60,93,,,,,2024-07-29 00:00:16
