,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Кредит,Ипотека,Ремонт,load_time
10,sberbank/1029929331,СберБанк,"Будённовский просп., 85, Ростов-на-Дону",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-15:00, 'sun': выходной, ",47.230639,39.702463,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,58,56,96,,,,,2024-07-28 19:37:26
11,sberbank/1010072093,СберБанк,"2-я Краснодарская ул., 135А, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",47.203262,39.633490,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,61,69,88,50,,,,2024-07-28 19:37:26
12,sberbank/1085792484,СберБанк,"ул. Толмачёва, 127/44А, Ростов-на-Дону",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",47.218755,39.633203,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,64,79,87,80,57,64,,2024-07-28 19:37:26
13,sberbank/1113330412,СберБанк,"ул. Мечникова, 140, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",47.236984,39.703856,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,67,50,100,,,,,2024-07-28 19:37:26
14,sberbank/1143292302,СберБанк,"Будённовский просп., 19/54, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",47.218657,39.707898,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",67,43,52,87,46,,,92,2024-07-28 19:37:26
15,sberbank/1104749549,СберБанк,"ул. Доватора, 267, Ростов-на-Дону",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",47.236256,39.597855,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,57,66,93,67,,,,2024-07-28 19:37:26
16,sberbank/1080538719,СберБанк,"просп. Стачки, 25, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",47.210651,39.672423,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,43,56,100,,,,,2024-07-28 19:37:26
17,sberbank/1127942040,СберБанк,"ул. Зорге, 37, Ростов-на-Дону",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-15:30, 'sun': выходной, ",47.230285,39.628783,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,65,74,95,50,,,80,2024-07-28 19:37:26
18,sberbank/1039190815,СберБанк,"просп. Ленина, 99, Ростов-на-Дону",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",47.249366,39.710494,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,55,40,94,,,,,2024-07-28 19:37:26
19,sberbank/1170817659,СберБанк,"просп. Шолохова, 128, Ростов-на-Дону",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",47.242197,39.765255,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,68,88,96,78,,,,2024-07-28 19:37:26
20,sberbank/1005721868,СберБанк,"Советская ул., 46/2, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",47.228455,39.752409,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,68,85,98,,40,,60,2024-07-28 19:37:26
21,sberbank/1097005007,СберБанк,"Пушкинская ул., 199, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-16:00, 'sun': выходной, ",47.229526,39.733626,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",79,55,31,90,33,,,65,2024-07-28 19:37:26
22,sberbank/1064626852,СберБанк,"Большая Садовая ул., 104/29, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-15:00, 'sun': выходной, ",47.223278,39.723664,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",75,61,67,93,,,,,2024-07-28 19:37:26
23,sberbank/1126770639,СберБанк,"Большая Садовая ул., 86, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",47.221821,39.716792,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber', 'https://youtube.com/user/Sberbank']",79,61,64,95,,,,,2024-07-28 19:37:26
24,sberbank/1116632620,СберБанк,"Красноармейская ул., 147, Ростов-на-Дону",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",47.232561,39.732638,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,52,50,92,,,,,2024-07-28 19:37:26
