,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Ремонт,Расположение,Ипотека,Кредит,График работы,load_time
10,sberbank/1001078569,СберБанк,"ул. Карбышева, 36/2, Казань",,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 08:30-14:30, 'sun': выходной, ",55.763821,49.177426,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,68,74,92,92,,,,2024-08-05 02:52:19
11,sberbank/1038157752,СберБанк,"Авангардная ул., 167А, Казань",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.737147,49.145428,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,56,55,,100,,,,2024-08-05 02:52:19
12,sberbank/1257593413,СберБанк,"ул. Декабристов, 185, Казань",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-16:30, 'sun': 09:00-13:30, ",55.832258,49.079698,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber', 'https://youtube.com/user/Sberbank']",81,73,79,,90,,,,2024-08-05 02:52:19
13,sberbank/1037571682,СберБанк,"ул. Юлиуса Фучика, 94, Казань",,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-17:00, 'sun': выходной, ",55.767828,49.232412,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,76,65,,80,,,,2024-08-05 02:52:19
14,sberbank/86980709770,СберБанк,"ул. Павлюхина, 89, Казань",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': выходной, 'sun': выходной, ",55.769170,49.146282,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,63,58,,100,,,,2024-08-05 02:52:19
15,sberbank/1205606868,СберБанк,"просп. Ямашева, 97, Казань",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.825113,49.152345,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,67,80,,100,,,,2024-08-05 02:52:19
16,sberbank/1175716023,СберБанк,"Большая Красная ул., 29А, Вахитовский район, Казань",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.797686,49.124578,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",79,48,,,100,,,,2024-08-05 02:52:19
17,sberbank/80565461130,СберБанк,"ул. Декабристов, 164, Казань",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:30, 'sun': выходной, ",55.836863,49.081315,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,53,,,,,,,2024-08-05 02:52:19
18,sberbank/193997205426,СберБанк,"просп. Ямашева, 11, Казань",,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.826281,49.096191,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,67,86,,88,,,,2024-08-05 02:52:19
19,sberbank/1154374682,СберБанк,"ул. Фрунзе, 1, Казань",,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-16:00, 'sun': выходной, ",55.825421,49.043855,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,67,75,,83,,,,2024-08-05 02:52:19
20,sberbank/19096998944,СберБанк,"ул. Николая Ершова, 78Б, Казань",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",55.800545,49.182528,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",88,82,80,,,,,,2024-08-05 02:52:19
21,sberbank/1172208353,СберБанк,"просп. Ямашева, 54, корп. 3, Казань",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-17:00, 'sun': выходной, ",55.827687,49.129205,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,67,75,,91,,,,2024-08-05 02:52:19
22,sberbank/1037547443,СберБанк,"ул. Юлиуса Фучика, 34, Казань",,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.745701,49.219530,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,60,58,,,,,,2024-08-05 02:52:19
23,sberbank/1054657293,СберБанк,"ул. Серова, 11, Казань",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",55.829290,49.063178,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,73,63,,100,,,,2024-08-05 02:52:19
24,sberbank/1007475831,СберБанк,"ул. Хусаина Мавлютова, 9, Казань",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.755170,49.189562,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,81,80,,,,,,2024-08-05 02:52:19
25,sberbank/1372866436,СберБанк,"ул. Академика Парина, 6, Казань",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-17:30, 'sun': выходной, ",55.746132,49.189867,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",77,71,94,,100,,,,2024-08-05 02:52:19
26,sberbank/1652638308,СберБанк,"ул. Маршала Чуйкова, 2В, Казань",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.835296,49.103144,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,65,94,,,,,,2024-08-05 02:52:19
27,sberbank/1229170546,СберБанк,"Краснококшайская ул., 158, Казань",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.818645,49.059738,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",88,70,52,,86,,,,2024-08-05 02:52:19
28,sberbank/1030455338,СберБанк,"ул. Юлиуса Фучика, 72, Казань",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.755849,49.232357,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'http://vk.com/sber']",87,72,50,,,,,,2024-08-05 02:52:19
29,sberbank/1118579500,СберБанк,"просп. Победы, 17, Казань",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.747176,49.200809,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,60,,,,,,,2024-08-05 02:52:19
30,sberbank/1071683363,СберБанк,"ул. Мулланура Вахитова, 5, Казань",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.815287,49.085942,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,79,70,,,,,,2024-08-05 02:52:19
31,sberbank/1138618513,СберБанк,"ул. Рихарда Зорге, 70, Казань",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.747242,49.212272,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,70,,,,,,,2024-08-05 02:52:19
32,sberbank/1009916450,СберБанк,"ул. Побежимова, 17, Казань",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-17:00, 'sun': выходной, ",55.858331,49.087324,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",95,81,85,,94,,,,2024-08-05 02:52:19
33,sberbank/1109297080,СберБанк,"ул. Клары Цеткин, 9, Казань",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.798678,49.061939,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,48,,,,,,,2024-08-05 02:52:19
34,sberbank/1072353015,СберБанк,"ул. Адоратского, 29, Казань",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.838526,49.145643,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,53,50,,,,,,2024-08-05 02:52:19
35,sberbank/23725052297,СберБанк,"просп. Победы, 62, корп. 4, Казань",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.751812,49.214229,"4,5",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],68,64,,,,,,,2024-08-05 02:52:19
36,sberbank/1069000979,СберБанк,"ул. Фатыха Амирхана, 71, Казань",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': выходной, 'sun': выходной, ",55.834983,49.132861,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,55,43,,100,,,,2024-08-05 02:52:19
37,sberbank/109816395416,СберБанк,"ул. Ильича, 19/43, Казань",,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 09:00-13:00, 'sun': выходной, ",55.818503,48.898966,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,75,,,,,,40,2024-08-05 02:52:19
38,sberbank/1078455951,СберБанк,"ул. Максимова, 2, Казань",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.860514,49.099721,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,72,63,,100,,,,2024-08-05 02:52:19
39,sberbank/1107492022,СберБанк,"ул. Симонова, 14/41, Казань",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.866294,49.086418,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,62,64,,73,,,58,2024-08-05 02:52:19
40,sberbank/244390954945,СберБанк,"ул. Адоратского, 12, Казань",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.831843,49.148554,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 02:52:19
41,sberbank/1245909512,СберБанк,"Беломорская ул., 83, Казань",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.866369,49.015900,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",89,92,76,,82,,,,2024-08-05 02:52:19
42,sberbank/1025796634,СберБанк,"ул. Мира, 55, Советский район, посёлок Дербышки, Казань",,"'mon': 08:30-19:00, 'tue': 08:30-19:00, 'wed': 08:30-19:00, 'thu': 08:30-19:00, 'fri': 08:30-19:00, 'sat': 08:30-17:00, 'sun': выходной, ",55.860337,49.216323,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,67,64,,,,,,2024-08-05 02:52:19
43,sberbank/1128835498,СберБанк,"ул. 40-летия Победы, 1, село Осиново",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",55.877193,48.891906,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",97,58,,,,,,,2024-08-05 02:52:19
44,sberbank/1135045528,СберБанк,"Главная ул., 56, Советский район, посёлок Дербышки, Казань",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-15:30, 'sun': выходной, ",55.865243,49.223959,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,58,67,,91,,,,2024-08-05 02:52:19
45,sberbank/1042083499,СберБанк,"ул. Чехова, 44А, село Верхний Услон",,"'mon': 09:00-17:00, 'tue': 09:00-17:00, 'wed': 09:00-17:00, 'thu': 09:00-17:00, 'fri': 09:00-17:00, 'sat': выходной, 'sun': выходной, ",55.769525,48.978664,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 02:52:19
46,sberbank/30679961915,СберБанк,"Советская ул., 55, село Столбище",,"'mon': 08:00-16:00, 'tue': 08:00-16:00, 'wed': 08:00-16:00, 'thu': 08:00-16:00, 'fri': 08:00-16:00, 'sat': выходной, 'sun': выходной, ",55.652024,49.216448,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,58,,,,,,14,2024-08-05 02:52:19
47,sberbank/1112784728,СберБанк,"Молодёжный просп., 1, село Габишево",,"'mon': 08:00-15:45, 'tue': 08:00-15:45, 'wed': 08:00-15:45, 'thu': 08:00-15:45, 'fri': 08:00-15:45, 'sat': выходной, 'sun': выходной, ",55.611648,49.144502,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 02:52:19
48,sberbank/1122227283,СберБанк,"Насосная ул., 13, село Песчаные Ковали",,"'mon': 08:00-15:30, 'tue': 08:00-15:30, 'wed': 08:00-15:30, 'thu': 08:00-15:30, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.621353,49.147664,"3,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 02:52:19
49,sberbank/1017753363,СберБанк,"Полковая ул., 9, село Высокая Гора",www.sberbank.ru,"'mon': выходной, 'tue': 08:00-16:15, 'wed': 08:00-16:15, 'thu': 08:00-16:15, 'fri': 08:00-16:15, 'sat': 08:00-13:00, 'sun': выходной, ",55.920638,49.302732,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-05 02:52:19
