,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,Кредит,load_time
10,sberbank/1002519091,СберБанк,"ул. Сенько, 9, Тамбов",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:30, 'sun': выходной, ",52.708945,41.396794,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",96,82,,67,,2024-08-05 19:45:23
11,sberbank/233835706261,СберБанк,"ул. Карла Маркса, 130, Тамбов",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",52.719005,41.451483,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 19:45:23
12,sberbank/1040613843,СберБанк,"Совхозная ул., 8В, д. Красненькая",www.sberbank.ru,"'mon': 08:30-16:00, 'tue': 08:30-16:00, 'wed': 08:30-16:00, 'thu': 08:30-16:00, 'fri': 08:30-15:45, 'sat': выходной, 'sun': выходной, ",52.762109,41.472010,"4,1",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 19:45:23
13,sberbank/1041266310,СберБанк,"Астраханская ул., 187, Тамбов",www.sberbank.ru,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-14:00, 'sun': выходной, ",52.676781,41.463754,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,67,91,64,,2024-08-05 19:45:23
14,sberbank/1213618383,СберБанк,"Магистральная ул., 1Б, село Стрельцы",,"'mon': выходной, 'tue': 08:30-17:45, 'wed': 08:30-17:45, 'thu': 08:30-17:45, 'fri': 08:30-17:45, 'sat': выходной, 'sun': выходной, ",52.728980,41.320257,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 19:45:23
15,sberbank/1065220733,СберБанк,"Придорожная ул., 20, посёлок Строитель",www.sberbank.ru,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-13:00, 'sun': выходной, ",52.653821,41.446121,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,73,100,44,,2024-08-05 19:45:23
16,sberbank/1087132164,СберБанк,"Советский пер., 3, село Покрово-Пригородное",,"'mon': 08:30-16:45, 'tue': 08:30-16:45, 'wed': 08:30-16:45, 'thu': 08:30-16:45, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",52.685303,41.423770,"3,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 19:45:23
17,sberbank/97266214854,СберБанк,"Зелёная ул., 2А, посёлок совхоза Комсомолец",,"'mon': 08:30-16:00, 'tue': 08:30-16:00, 'wed': 08:30-16:00, 'thu': 08:30-16:00, 'fri': 08:30-15:45, 'sat': выходной, 'sun': выходной, ",52.769890,41.287037,"3,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 19:45:23
18,sberbank/1109723641,СберБанк,"Советская ул., 82, рабочий посёлок Новая Ляда",www.sberbank.ru,"'mon': 08:00-16:15, 'tue': 08:00-16:15, 'wed': 08:00-16:15, 'thu': 08:00-16:15, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",52.710004,41.640758,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 19:45:23
19,sberbank/181499426911,СберБанк,"ул. Ленина, 370А, село Татаново",www.sberbank.com,"'mon': 08:30-15:45, 'tue': 08:30-15:45, 'wed': 08:30-15:45, 'thu': 08:30-15:45, 'fri': 08:30-15:45, 'sat': выходной, 'sun': выходной, ",52.852147,41.482260,"3,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 19:45:23
20,sberbank/1078733529,СберБанк,"Советская ул., 35, село Тулиновка",www.sberbank.ru,"'mon': 08:00-16:15, 'tue': 08:00-16:15, 'wed': 08:00-16:15, 'thu': 08:00-16:15, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",52.808899,41.567806,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 19:45:23
21,sberbank/105764951907,СберБанк,"Молодёжная ул., 1А, село Красносвободное",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",52.656213,41.311921,"3,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 19:45:23
22,sberbank/105925833208,СберБанк,"Советская ул., 13, посёлок совхоза Селезнёвский",www.sberbank.ru,"'mon': выходной, 'tue': 08:30-16:15, 'wed': 08:30-16:15, 'thu': 08:30-16:15, 'fri': 08:30-16:15, 'sat': 08:30-14:15, 'sun': выходной, ",52.825199,41.158147,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,2024-08-05 19:45:23
