,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Кредит,Расположение,Ипотека,График работы,load_time
12,sberbank/100775826072,СберБанк,"ул. Будённого, 2А, Белгород",www.sberbank.com,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:30-13:30, 'sun': выходной, ",50.569580,36.552731,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",81,67,75,,92,,,2024-07-28 19:45:03
13,sberbank/1051841001,СберБанк,"ул. Мичурина, 31, Белгород",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-13:00, 'sun': выходной, ",50.612542,36.588975,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,66,67,,94,,,2024-07-28 19:45:03
14,sberbank/1065284327,СберБанк,"ул. Железнякова, 18А, Белгород",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",50.632526,36.576210,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,75,55,,,,,2024-07-28 19:45:03
15,sberbank/1080856105,СберБанк,"просп. Богдана Хмельницкого, 160, Белгород",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 09:00-13:00, 'sun': выходной, ",50.638696,36.571763,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,77,,,,,,2024-07-28 19:45:03
16,sberbank/144385960901,СберБанк,"Зелёная ул., 16, посёлок Дубовое",www.sberbank.com,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной, ",50.537542,36.583729,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",96,53,5,,,,,2024-07-28 19:45:03
17,sberbank/1013379433,СберБанк,"просп. Ленина, 6А, рабочий посёлок Разумное",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-13:30, 'sun': выходной, ",50.530104,36.690089,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,85,81,,,,,2024-07-28 19:45:03
18,sberbank/1022802969,СберБанк,"ул. Королёва, 32А, село Стрелецкое",www.sberbank.com,"'mon': 08:30-16:45, 'tue': 08:30-16:45, 'wed': 08:30-16:45, 'thu': 08:30-16:45, 'fri': 08:30-16:45, 'sat': выходной, 'sun': выходной, ",50.635017,36.477323,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,42,29,,,,,2024-07-28 19:45:03
19,sberbank/153785440547,СберБанк,"ул. Кирова, 14А, посёлок Майский",www.sberbank.com,"'mon': 09:00-17:00, 'tue': 09:00-17:00, 'wed': 09:00-17:00, 'thu': 09:00-17:00, 'fri': 09:00-17:00, 'sat': выходной, 'sun': выходной, ",50.523118,36.456329,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,64,9,,,,10,2024-07-28 19:45:03
20,sberbank/1082409389,СберБанк,"ул. Надежды, 6, село Таврово",www.sberbank.com,"'mon': 09:00-16:30, 'tue': 09:00-16:30, 'wed': 09:00-18:54, 'thu': 09:00-16:30, 'fri': 09:00-16:30, 'sat': выходной, 'sun': выходной, ",50.500601,36.574314,"3,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-28 19:45:03
21,sberbank/95653608929,СберБанк,"Центральная ул., 1, посёлок Комсомольский",www.sberbank.com,"'mon': 09:00-16:30, 'tue': 09:00-16:30, 'wed': 09:00-16:30, 'thu': 09:00-16:30, 'fri': 09:00-14:24, 'sat': выходной, 'sun': выходной, ",50.558061,36.422480,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-28 19:45:03
22,sberbank/204191277332,СберБанк,"площадь Островского, 2Б, рабочий посёлок Октябрьский",www.sberbank.com,"'mon': выходной, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-17:30, 'sun': выходной, ",50.448875,36.359778,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-28 19:45:03
23,sberbank/73636572377,СберБанк,"Юбилейная ул., 61, село Веселая Лопань",www.sberbank.com,"'mon': выходной, 'tue': 09:00-16:30, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",50.492401,36.383395,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-28 19:45:03
