,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Кредит,Расположение,График работы,Ипотека,Ремонт,load_time
10,sberbank/8414654814,СберБанк,"ул. Ванеева, 90, Нижний Новгород",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-14:00, 'sun': выходной, ",56.297538,44.034750,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,65,73,,92,,,,2024-08-04 20:35:59
11,sberbank/1205309008,СберБанк,"ул. Максима Горького, 144, Нижний Новгород",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.314852,43.997399,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,57,45,,86,,,,2024-08-04 20:35:59
12,sberbank/1129040091,СберБанк,"Сормовское ш., 20, Нижний Новгород",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-14:00, 'sun': выходной, ",56.319909,43.926350,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",67,48,62,,93,,,,2024-08-04 20:35:59
13,sberbank/1224639125,СберБанк,"Казанское ш., 11, Нижний Новгород",,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-15:00, 'sun': выходной, ",56.290410,44.073009,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",66,45,33,,95,,,,2024-08-04 20:35:59
14,sberbank/1230821843,СберБанк,"ул. Бекетова, 3Б, Нижний Новгород",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:30-13:30, 'sun': выходной, ",56.290814,43.987859,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,62,77,55,85,60,72,,2024-08-04 20:35:59
15,sberbank/1195872983,СберБанк,"ул. Октябрьской Революции, 66, Нижний Новгород",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",56.307756,43.936870,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,55,61,,95,,,,2024-08-04 20:35:59
16,sberbank/1274319179,СберБанк,"Бурнаковская ул., 51А, Нижний Новгород",,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной, ",56.340500,43.915229,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,70,83,,100,,,,2024-08-04 20:35:59
17,sberbank/1139543536,СберБанк,"Интернациональная ул., 30, Бор",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",56.362053,44.061852,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",74,69,,,,,,,2024-08-04 20:35:59
18,sberbank/23534324929,СберБанк,"ул. Бекетова, 13, Нижний Новгород",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-15:00, 'sun': выходной, ",56.290609,43.998126,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,54,61,,90,,,,2024-08-04 20:35:59
19,sberbank/1129236098,СберБанк,"просп. Ленина, 29, Нижний Новгород",,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",56.289081,43.930043,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,67,52,,100,,,,2024-08-04 20:35:59
20,sberbank/1126249131,СберБанк,"просп. Ленина, 53, Нижний Новгород",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",56.277823,43.921383,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/Sber_Business_Live_bot', 'https://vk.com/careersber']",81,64,59,,100,,,,2024-08-04 20:35:59
21,sberbank/1136666200,СберБанк,"ул. Коминтерна, 160, Нижний Новгород",dzen.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",56.345684,43.870485,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",84,74,45,77,100,,80,,2024-08-04 20:35:59
22,sberbank/1197775428,СберБанк,"просп. Гагарина, 20, Нижний Новгород",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",56.300715,43.984876,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,58,16,,,,,,2024-08-04 20:35:59
23,sberbank/1119623383,СберБанк,"просп. Гагарина, 108, Нижний Новгород",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:30, 'sun': выходной, ",56.272065,43.977501,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,76,67,,100,,,,2024-08-04 20:35:59
