,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ипотека,Кредит,Ремонт,load_time
10,sberbank/1089216091,СберБанк,"ул. Сибиряков-Гвардейцев, 11, Кемерово",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",55.336815,86.069447,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,97,,100,,,,2024-07-29 03:41:08
11,sberbank/148164092781,СберБанк,"Октябрьский просп., 95, Кемерово",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.355715,86.169151,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,75,,,,,,2024-07-29 03:41:08
12,sberbank/1062342110,СберБанк,"бул. Строителей, 16, Кемерово",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.350607,86.162198,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,79,,,,,,2024-07-29 03:41:08
13,sberbank/211076172956,СберБанк,"Молодёжный просп., 9, Кемерово",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.326615,86.124029,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,81,40,,,,92,2024-07-29 03:41:08
14,sberbank/9003750593,СберБанк,"ул. Юрия Двужильного, 14, Кемерово",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-14:00, 'sun': выходной, ",55.311692,86.095237,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,83,,,,,,2024-07-29 03:41:08
15,sberbank/1008989970,СберБанк,"Ленинградский просп., 43, Кемерово",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",55.339985,86.179769,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",97,79,67,,,,,2024-07-29 03:41:08
16,sberbank/1010342966,СберБанк,"ул. Марковцева, 20, Кемерово",www.sberbank.com,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",55.336564,86.188483,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,75,6,,,,,2024-07-29 03:41:08
17,sberbank/1114593887,СберБанк,"Весенний просп., 6, Кемерово",www.sberbank.com,"'mon': 10:00-18:30, 'tue': 10:00-18:30, 'wed': 10:00-18:30, 'thu': 10:00-18:30, 'fri': 10:00-18:30, 'sat': выходной, 'sun': выходной, ",55.419059,86.238267,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,83,,,,,,2024-07-29 03:41:08
18,sberbank/135636516782,СберБанк,"Стахановская ул., 23Б, Кемерово",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",55.520334,86.099064,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 03:41:08
19,sberbank/1019915443,СберБанк,"Белозёрная ул., 44А, Кемерово",www.sberbank.com,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",55.276642,85.982588,"3,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 03:41:08
20,sberbank/1057912725,СберБанк,"Центральная ул., 6, посёлок Ясногорский",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': 10:00-16:45, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",55.343615,85.894644,"2,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 03:41:08
21,sberbank/1026623572,СберБанк,"ул. 40 лет Победы, 4, Берёзовский",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",55.670701,86.268917,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 03:41:08
22,sberbank/1364508797,СберБанк,"ул. Кирова, 9, Берёзовский",www.sberbank.com,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",55.619981,86.261121,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 03:41:08
