,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ремонт,Кредит,Ипотека,График работы,load_time
10,sberbank/1279186781,СберБанк,"просп. Героев Сталинграда, 50А, Волгоград",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-15:00, 'sun': 08:30-12:30, ",48.512924,44.543538,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,80,80,95,,33,50,84,2024-07-28 21:46:03
11,sberbank/179839387470,СберБанк,"просп. Маршала Жукова, 101, Волгоград",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-15:00, 'sun': выходной, ",48.739347,44.490861,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,74,75,75,,,,,2024-07-28 21:46:03
12,sberbank/1114940556,СберБанк,"просп. имени В.И. Ленина, 1Б, Волгоград",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",48.703518,44.510516,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank', 'https://youtube.com/user/Sberbank']",89,83,75,,,,,,2024-07-28 21:46:03
13,sberbank/244953410615,СберБанк,"Новороссийская ул., 14Б, Волгоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",48.716134,44.511648,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,61,53,94,,,,,2024-07-28 21:46:03
14,sberbank/1122193647,СберБанк,"ул. Писемского, 93, Волгоград",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",48.583815,44.430764,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",89,70,73,100,,,,,2024-07-28 21:46:03
15,sberbank/1068775523,СберБанк,"Елецкая ул., 8/1, Волгоград",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",48.700807,44.486217,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,63,59,100,,,,,2024-07-28 21:46:03
16,sberbank/1092607119,СберБанк,"Рабоче-Крестьянская ул., 41, Волгоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",48.689674,44.488112,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,70,64,92,,,,,2024-07-28 21:46:03
17,sberbank/1110123613,СберБанк,"ул. Рокоссовского, 54, Волгоград",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-15:30, 'sun': выходной, ",48.726772,44.519257,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,80,78,100,,,,,2024-07-28 21:46:03
18,sberbank/1111938479,СберБанк,"Лужская ул., 28, Волгоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",48.696573,44.470002,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",92,70,41,94,,,,,2024-07-28 21:46:03
19,sberbank/1093367251,СберБанк,"Ангарская ул., 122, Волгоград",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': выходной, 'fri': 08:30-18:00, 'sat': 08:30-14:00, 'sun': выходной, ",48.723991,44.468574,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,68,61,95,,,,,2024-07-28 21:46:03
20,sberbank/1039354925,СберБанк,"ул. 8-й Воздушной Армии, 47Д, район Семь Ветров, Волгоград",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-15:00, 'sun': выходной, ",48.756747,44.500303,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",82,52,47,92,,,,,2024-07-28 21:46:03
21,sberbank/1012703485,СберБанк,"ул. Маршала Ерёменко, 70А, Волгоград",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",48.768191,44.543304,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,78,44,70,,,,,2024-07-28 21:46:03
22,sberbank/1367024615,СберБанк,"просп. имени В.И. Ленина, 47, Волгоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 08:30-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",48.724021,44.535571,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",84,67,,,,,,,2024-07-28 21:46:03
23,sberbank/1110572961,СберБанк,"ул. Константина Симонова, 17, район Семь Ветров, Волгоград",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",48.752500,44.496601,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",90,54,53,80,,,,,2024-07-28 21:46:03
24,sberbank/1087636729,СберБанк,"Краснополянская ул., 46, Волгоград",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-16:00, 'sun': выходной, ",48.766552,44.478653,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,45,41,87,,,,,2024-07-28 21:46:03
25,sberbank/1028090629,СберБанк,"ул. 8-й Воздушной Армии, 9А, район Семь Ветров, Волгоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",48.748336,44.505917,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",74,50,31,82,,,,,2024-07-28 21:46:03
26,sberbank/1052893023,СберБанк,"ул. Маршала Ерёменко, 35, Волгоград",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",48.783199,44.562123,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,63,52,92,,,,,2024-07-28 21:46:03
27,sberbank/244888102593,СберБанк,"ул. 51-й Гвардейской Дивизии, 53, Волгоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",48.768607,44.498506,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",93,69,,,,,,,2024-07-28 21:46:03
28,sberbank/175609892593,СберБанк,"просп. Металлургов, 15, Волгоград",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",48.767704,44.553564,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,74,,,,,,,2024-07-28 21:46:03
29,sberbank/1242056256,СберБанк,"просп. Героев Сталинграда, 1, Волгоград",www.sberbank.ru,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:30-14:30, 'sun': выходной, ",48.516403,44.566796,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",91,69,60,100,,,,,2024-07-28 21:46:03
30,sberbank/199306213457,СберБанк,"просп. Героев Сталинграда, 32, Волгоград",www.sberbank.com,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:30-14:00, 'sun': выходной, ",48.515717,44.558540,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",96,68,,,,,,,2024-07-28 21:46:03
31,sberbank/1005172466,СберБанк,"ул. Маршала Ерёменко, 98, Волгоград",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 08:30-14:30, 'sun': выходной, ",48.775595,44.552934,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,70,71,93,,,,,2024-07-28 21:46:03
32,sberbank/1096815691,СберБанк,"просп. имени В.И. Ленина, 209, Волгоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:30, 'sun': выходной, ",48.798306,44.601273,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sber']",87,48,,,,,,,2024-07-28 21:46:03
33,sberbank/1108731913,СберБанк,"ул. 40 лет ВЛКСМ, 25, Волгоград",www.sberbank.com,"'mon': 08:00-18:00, 'tue': 08:00-18:00, 'wed': 08:00-18:00, 'thu': 08:00-18:00, 'fri': 08:00-18:00, 'sat': 08:30-12:30, 'sun': выходной, ",48.508918,44.577431,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sber']",83,73,42,,,,,,2024-07-28 21:46:03
34,sberbank/1011052830,СберБанк,"ул. Батова, 1, Волгоград",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",48.796170,44.590574,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",89,93,76,100,,,,,2024-07-28 21:46:03
35,sberbank/12705887029,СберБанк,"просп. Ленина, 6, рабочий посёлок Городище",www.sberbank.com,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': 08:30-14:30, 'sun': выходной, ",48.810293,44.479812,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,58,0,,,,,,2024-07-28 21:46:03
36,sberbank/30005599492,СберБанк,"Лазоревая ул., 221, Волгоград",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",48.529418,44.477126,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-28 21:46:03
37,sberbank/1062247345,СберБанк,"ул. Менжинского, 11А, Волгоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",48.816469,44.623138,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",91,36,43,100,,,,,2024-07-28 21:46:03
38,sberbank/1055701045,СберБанк,"ул. Ленина, 187А, Краснослободск",www.sberbank.com,"'mon': выходной, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 08:30-14:30, 'sun': выходной, ",48.706770,44.592811,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,44,50,,,,,,2024-07-28 21:46:03
39,sberbank/1674868849,СберБанк,"ул. Маршала Ерёменко, 53, Волгоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",48.788870,44.574512,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,72,57,100,,,,,2024-07-28 21:46:03
40,sberbank/1131826379,СберБанк,"ул. Николая Отрады, 17, Волгоград",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",48.822804,44.638391,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",90,57,60,100,,,,80,2024-07-28 21:46:03
41,sberbank/1012777115,СберБанк,"ул. Николая Отрады, 26А, Волгоград",www.sberbank.com,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': 09:00-13:00, 'sun': выходной, ",48.817845,44.631842,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",95,67,55,88,,,,,2024-07-28 21:46:03
42,sberbank/92570137102,СберБанк,"ул. Ленина, 6, рабочий посёлок Городище",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",48.796834,44.464711,,['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,,2024-07-28 21:46:03
43,sberbank/144658309995,СберБанк,"Центральная ул., 16, посёлок Областной сельскохозяйственной опытной станции",www.sberbank.com,"'mon': выходной, 'tue': 09:15-17:30, 'wed': 09:15-17:30, 'thu': 09:15-17:30, 'fri': 09:15-17:30, 'sat': 08:15-13:30, 'sun': выходной, ",48.882560,44.382677,"3,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-28 21:46:03
44,sberbank/1048669044,СберБанк,"ул. Мира, 3, хутор Бурковский",www.sberbank.com,"'mon': выходной, 'tue': 09:00-14:15, 'wed': выходной, 'thu': 09:00-14:15, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",48.701318,44.660175,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-28 21:46:03
45,sberbank/96709486484,СберБанк,"Центральная ул., 2, посёлок Степной",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:30, 'wed': 08:00-16:30, 'thu': 08:00-16:30, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",48.852466,44.220199,"3,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-28 21:46:03
