,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Расположение,Банкомат,Ипотека,Ремонт,График работы,load_time
11,sberbank/1184604530,СберБанк,"Русская ул., 16, Владивосток",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 08:30-18:30, 'fri': 09:00-19:00, 'sat': 09:30-16:30, 'sun': выходной, ",C43.16586,131.90822,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,63,100,76,,,,2024-08-04 21:30:20
12,sberbank/1083952743,СберБанк,"ул. Тухачевского, 53, Владивосток",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C43.15760,131.92784,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",71,65,100,68,,,,2024-08-04 21:30:20
13,sberbank/178470921838,СберБанк,"Светланская ул., 143, Владивосток",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",C43.11296,131.91652,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,67,,,,,,2024-08-04 21:30:20
14,sberbank/1204489702,СберБанк,"Океанский просп., 18, Владивосток",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-19:00, 'sun': выходной, ",C43.11905,131.88703,"4,6",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",75,57,94,65,,,,2024-08-04 21:30:20
15,sberbank/1272132969,СберБанк,"Черёмуховая ул., 7, Владивосток",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-16:00, 'sun': выходной, ",C43.09846,131.90340,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",86,70,95,74,,,,2024-08-04 21:30:20
16,sberbank/1131422131,СберБанк,"ул. Калинина, 277, Владивосток",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",C43.09391,131.90446,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,69,,,,,,2024-08-04 21:30:20
17,sberbank/1023021107,СберБанк,"Посьетская ул., 14, Владивосток",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",C43.10905,131.87861,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,54,91,69,,,,2024-08-04 21:30:20
18,sberbank/1146878219,СберБанк,"ул. Мордовцева, 3, Владивосток",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:30-16:00, 'sun': выходной, ",C43.11949,131.88393,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,74,91,40,,,,2024-08-04 21:30:20
19,sberbank/1002314946,СберБанк,"ул. Лермонтова, 75, посёлок Трудовое",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",C43.30021,132.06389,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,71,94,71,,,90,2024-08-04 21:30:20
20,sberbank/1569366758,СберБанк,"ул. Карла Маркса, 39, Большой Камень",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-13:30, 'sun': выходной, ",C43.10927,132.34897,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,63,75,33,,,,2024-08-04 21:30:20
21,sberbank/1106281084,СберБанк,"ул. Фрунзе, 49/1, Артём",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",C43.35410,132.17090,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,61,71,59,,,,2024-08-04 21:30:20
22,sberbank/144394571111,СберБанк,"Океанский просп., 110А, Владивосток",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",C43.13300,131.90682,"4,2",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,2024-08-04 21:30:20
23,sberbank/1133057041,СберБанк,"ул. Кирова, 74/2, Артём",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': выходной, 'thu': выходной, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",C43.36205,132.21188,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,81,70,50,,,,2024-08-04 21:30:20
