,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Ипотека,Расположение,Банкомат,График работы,Кредит,Ремонт,load_time
12,sberbank/1122715567,СберБанк,"ул. Софьи Перовской, 19/1, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.696915,55.996136,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,74,,92,71,,,,2024-07-29 21:30:06
13,sberbank/1110422281,СберБанк,"ул. Юрия Гагарина, 11, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.765010,56.055260,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,76,,100,,,,,2024-07-29 21:30:06
14,sberbank/1005707256,СберБанк,"Комсомольская ул., 35, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",54.748577,56.000580,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,73,,,,,,,2024-07-29 21:30:06
15,sberbank/1077548459,СберБанк,"ул. Шафиева, 28, Уфа",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': 09:00-18:00, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.761259,56.008413,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,43,,80,33,,,,2024-07-29 21:30:06
16,sberbank/87552779153,СберБанк,"ул. Кирова, 47, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.729112,55.963928,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sber']",74,45,,,52,50,,,2024-07-29 21:30:06
17,sberbank/1217974530,СберБанк,"ул. Ленина, 20, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-16:00, 'sun': выходной, ",54.724001,55.946797,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,72,,100,73,,,82,2024-07-29 21:30:06
18,sberbank/8659835269,СберБанк,"ул. Рихарда Зорге, 35, Уфа",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.757846,55.994615,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,77,,,45,,,,2024-07-29 21:30:06
19,sberbank/116781799449,СберБанк,"Айская ул., 69, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-14:00, 'sun': выходной, ",54.730495,55.977376,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,71,,100,91,,,,2024-07-29 21:30:06
20,sberbank/1038095159,СберБанк,"ул. Чернышевского, 82, Уфа",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.729335,55.941326,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,69,,100,63,,,,2024-07-29 21:30:06
21,sberbank/59102584006,СберБанк,"Рубежная ул., 174, Уфа",www.sberbank.com,"'mon': 09:00-21:00, 'tue': 09:00-21:00, 'wed': 09:00-21:00, 'thu': 10:00-22:00, 'fri': 09:00-21:00, 'sat': 09:00-21:00, 'sun': 09:00-21:00, ",54.674918,55.929056,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,56,,,,,,,2024-07-29 21:30:06
22,sberbank/137817057876,СберБанк,"Первомайская ул., 33, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-15:00, 'sun': выходной, ",54.816276,56.080422,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,53,,100,53,,,,2024-07-29 21:30:06
23,sberbank/1092494293,СберБанк,"ул. 8 Марта, 19, Уфа",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-15:00, 'sun': выходной, ",54.737195,55.988462,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",91,70,,,,,,,2024-07-29 21:30:06
24,sberbank/1017728394,СберБанк,"Первомайская ул., 10, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-15:30, 'sun': выходной, ",54.819918,56.064521,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,54,86,75,31,,89,,2024-07-29 21:30:06
25,sberbank/59821787866,СберБанк,"просп. Октября, 135/1, Уфа",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': выходной, 'sun': выходной, ",54.794933,56.036665,"4,9",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,,2024-07-29 21:30:06
26,sberbank/43254988379,СберБанк,"ул. Юрия Гагарина, 31/2, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-14:00, 'sun': выходной, ",54.767378,56.070074,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",90,76,,,50,,,,2024-07-29 21:30:06
27,sberbank/203109466466,СберБанк,"Первомайская ул., 52, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-18:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",54.812317,56.091632,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,61,,,,,,,2024-07-29 21:30:06
28,sberbank/1129447518,СберБанк,"бул. Тухвата Янаби, 22, Уфа",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.780719,56.122885,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/s/sberbank', 'https://vk.com/sberbank']",84,46,,77,24,,,,2024-07-29 21:30:06
29,sberbank/1046951137,СберБанк,"ул. Ферина, 4, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-18:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",54.786415,56.130521,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,59,,90,69,,,,2024-07-29 21:30:06
30,sberbank/1017386113,СберБанк,"Кольцевая ул., 177, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-15:00, 'sun': выходной, ",54.811773,56.118995,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",88,76,,,,,,100,2024-07-29 21:30:06
31,sberbank/1006227405,СберБанк,"бул. Ибрагимова, 42, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-14:00, 'sun': выходной, ",54.742221,55.957316,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,55,,100,50,,,,2024-07-29 21:30:06
32,sberbank/1061361222,СберБанк,"ул. Георгия Мушникова, 13/1, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.780730,56.112985,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,75,,100,79,,,,2024-07-29 21:30:06
33,sberbank/1042400808,СберБанк,"пер. Ухтомского, 10, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': 09:30-15:00, ",54.703140,55.830664,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",82,58,,85,57,60,,,2024-07-29 21:30:06
34,sberbank/1132575154,СберБанк,"Первомайская ул., 16, Уфа",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.818393,56.070315,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",95,70,,100,58,,,,2024-07-29 21:30:06
35,sberbank/1110332519,СберБанк,"ул. Ахметова, 324, Уфа",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.789535,55.881552,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,52,,89,50,,,,2024-07-29 21:30:06
36,sberbank/1065333989,СберБанк,"ул. Александра Невского, 33, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.818439,56.104407,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,30,,100,9,,,,2024-07-29 21:30:06
37,sberbank/1127396229,СберБанк,"Вологодская ул., 13, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.809848,56.130593,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",95,60,,,59,,,,2024-07-29 21:30:06
38,sberbank/1077204128,СберБанк,"Гвардейская ул., 35/1, жилой район Шакша, Уфа",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.772806,56.228913,"4,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,80,,100,79,67,,,2024-07-29 21:30:06
39,sberbank/59252543566,СберБанк,"Дагестанская ул., 23, Уфа",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",54.711405,55.835181,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,38,,89,65,,,,2024-07-29 21:30:06
40,sberbank/1042268794,СберБанк,"Рабочая ул., 36, Уфа",www.sberbank.com,"'mon': 09:30-18:00, 'tue': 09:30-18:00, 'wed': 09:30-18:00, 'thu': 09:30-18:00, 'fri': 09:30-18:00, 'sat': выходной, 'sun': выходной, ",54.744404,55.915132,"3,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",64,29,,,14,0,,,2024-07-29 21:30:06
41,sberbank/1005772158,СберБанк,"ул. Ленина, 46, село Михайловка",www.sberbank.com,"'mon': 08:30-16:30, 'tue': 08:30-16:30, 'wed': 08:30-16:30, 'thu': 08:30-16:30, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.803388,55.893419,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 21:30:06
42,sberbank/1013324307,СберБанк,"ул. Михайлова, 3, село Миловка",www.sberbank.com,"'mon': 08:30-16:30, 'tue': 08:30-16:30, 'wed': 08:30-16:30, 'thu': 08:30-16:30, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.778064,55.838406,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-07-29 21:30:06
