,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Кредит,Расположение,Ипотека,Банкомат,График работы,load_time
10,sberbank/1025777626,СберБанк,"Октябрьская ул., 20, Тула",www.sberbank.com,"'mon': 08:45-18:30, 'tue': 08:45-18:30, 'wed': 08:45-18:30, 'thu': 08:45-18:30, 'fri': 08:45-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",54.207101,37.619108,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",90,73,,100,,50,,2024-07-29 20:34:35
11,sberbank/1006722384,СберБанк,"Пролетарская ул., 26, Тула",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:30, 'sun': выходной, ",54.203890,37.646089,"4,2",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],72,42,,73,,8,,2024-07-29 20:34:35
12,sberbank/1075396074,СберБанк,"Октябрьская ул., 97, Тула",www.sberbank.com,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.219053,37.626133,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,71,,82,,60,,2024-07-29 20:34:35
13,sberbank/1119377768,СберБанк,"ул. Болдина, 94, Тула",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",54.174655,37.574373,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,70,,100,,72,,2024-07-29 20:34:35
14,sberbank/43939653829,СберБанк,"Ложевая ул., 141, Тула",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:30, 'sun': выходной, ",54.198074,37.657027,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",65,49,,,,75,,2024-07-29 20:34:35
15,sberbank/7566310566,СберБанк,"ул. Кутузова, 6, Тула",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:30, 'sun': выходной, ",54.211318,37.667330,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,64,,100,,67,,2024-07-29 20:34:35
16,sberbank/1124914409,СберБанк,"Одоевское ш., 30, Тула",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.195519,37.561634,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UCM4aBRnEiNCf9fQFl2qx2Bg']",76,63,,83,,47,,2024-07-29 20:34:35
17,sberbank/1117813640,СберБанк,"ул. Максима Горького, 20, Тула",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",54.215572,37.603648,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,58,,93,,48,,2024-07-29 20:34:35
18,sberbank/1104303298,СберБанк,"ул. Металлургов, 63А, Тула",www.sberbank.com,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': выходной, 'sun': выходной, ",54.195767,37.677256,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",91,72,,100,,,,2024-07-29 20:34:35
19,sberbank/60651560454,СберБанк,"ул. Металлургов, 43, Тула",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",54.188207,37.691575,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,73,,93,,72,,2024-07-29 20:34:35
20,sberbank/1024640662,СберБанк,"ул. Вильямса, 22, Тула",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",54.206242,37.687245,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,39,,,,75,,2024-07-29 20:34:35
21,sberbank/1100594153,СберБанк,"ул. Автомобилистов, 26, посёлок Скуратовский, посёлок Южный, Тула",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",54.101002,37.605454,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,74,,,,,,2024-07-29 20:34:35
22,sberbank/1010565706,СберБанк,"Заводская ул., 9, рабочий посёлок Плеханово",www.sberbank.com,"'mon': выходной, 'tue': 09:00-18:00, 'wed': выходной, 'thu': выходной, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",54.243515,37.568821,"2,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",50,,,,,,0,2024-07-29 20:34:35
23,sberbank/226423719262,СберБанк,"35, посёлок Рассвет",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': 08:30-16:00, 'sat': 08:30-13:45, 'sun': выходной, ",54.164387,37.443910,"3,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 20:34:35
