,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Ипотека,Кредит,График работы,Расположение,Банкомат,load_time
10,sberbank/1147219623,СберБанк,"ул. Герцена, 70, Тюмень",,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",57.151652,65.533421,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'http://t.me/sberbank', 'http://vk.com/sber']",83,67,,,,88,31,2024-08-05 20:56:07
11,sberbank/1099524536,СберБанк,"ул. 50 лет Октября, 3, Тюмень",,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",57.153336,65.567736,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,59,,,,,33,2024-08-05 20:56:07
12,sberbank/1040737750,СберБанк,"Ямская ул., 75, Тюмень",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",57.160190,65.493104,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,73,,,,100,76,2024-08-05 20:56:07
13,sberbank/1023871456,СберБанк,"ул. Пермякова, 63, Тюмень",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.112358,65.572290,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,77,,,,100,,2024-08-05 20:56:07
14,sberbank/188810797507,СберБанк,"Профсоюзная ул., 52, Тюмень",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.152560,65.555779,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,67,,,,,,2024-08-05 20:56:07
15,sberbank/1636018091,СберБанк,"ул. Федюнинского, 67, Тюмень",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:30-16:00, 'sun': выходной, ",57.102948,65.570431,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,59,,,,92,,2024-08-05 20:56:07
16,sberbank/1232546127,СберБанк,"ул. Мельникайте, 54, Тюмень",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.148835,65.587750,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,72,,,,,,2024-08-05 20:56:07
17,sberbank/1067631923,СберБанк,"ул. Моторостроителей, 5, микрорайон Восточный, Тюмень",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",57.106116,65.605861,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",88,80,,,,,57,2024-08-05 20:56:07
18,sberbank/1071240604,СберБанк,"ул. 50 лет Октября, 88, Тюмень",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.134663,65.600938,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",84,83,,,,,,2024-08-05 20:56:07
19,sberbank/1091954901,СберБанк,"ул. Пермякова, 39, Тюмень",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.116151,65.576935,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,61,,,,,,2024-08-05 20:56:07
20,sberbank/55610715109,СберБанк,"ул. Беляева, 35, корп. 1, Тюмень",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-14:00, 'sun': выходной, ",57.175899,65.653759,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,68,,,,96,,2024-08-05 20:56:07
21,sberbank/1115155730,СберБанк,"ул. Ватутина, 55, Тюмень",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.187168,65.588227,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",95,76,,,38,100,81,2024-08-05 20:56:07
22,sberbank/156023935581,СберБанк,"ул. Республики, 215А, Тюмень",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.121794,65.610918,"4,3",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],67,88,,,,,,2024-08-05 20:56:07
23,sberbank/1090188389,СберБанк,"Широтная ул., 171, корп. 1, Тюмень",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",57.099829,65.612732,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,73,,,,100,80,2024-08-05 20:56:07
24,sberbank/1007860945,СберБанк,"ул. Казачьи Луга, 1, Тюмень",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",57.150754,65.653660,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",94,75,,,,93,71,2024-08-05 20:56:07
25,sberbank/1022758931,СберБанк,"ул. Бурлаки, 2, посёлок Московский",www.sberbank.ru,"'mon': выходной, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной, ",57.113438,65.424850,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-08-05 20:56:07
26,sberbank/1065253384,СберБанк,"ул. Александра Пушкина, 11, микрорайон Антипино, Тюмень",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",57.107905,65.733161,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-08-05 20:56:07
