,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,График работы,Кредит,Ремонт,Ипотека,Доступность,load_time
10,sberbank/1126509971,СберБанк,"Бухарестская ул., 49/43, Санкт-Петербург",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",59.857861,30.392602,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",70,63,57,94,,,,,,2024-08-05 16:36:22
11,sberbank/61936429444,СберБанк,"Привокзальная площадь, 1А, корп. 1, Мурино",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:30-16:30, 'sun': выходной, ",60.050723,30.446757,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",79,59,69,96,53,,,,,2024-08-05 16:36:22
12,sberbank/1020469673,СберБанк,"Яхтенная ул., 10, корп. 1, Санкт-Петербург",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-16:00, 'sun': выходной, ",59.989229,30.215571,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,65,76,100,36,,,,,2024-08-05 16:36:22
13,sberbank/1081543849,СберБанк,"просп. Энгельса, 128, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-18:00, 'sun': выходной, ",60.042905,30.326279,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",69,58,53,,,,,,,2024-08-05 16:36:22
14,sberbank/47641268692,СберБанк,"ул. Шувалова, 22, корп. 1, Мурино",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-19:00, 'sun': 11:00-19:00, ",60.060016,30.431850,"4,7",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],72,47,11,87,17,,,,,2024-08-05 16:36:22
15,sberbank/1013546553,СберБанк,"просп. КИМа, 4Б, Санкт-Петербург",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",59.949668,30.245054,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,48,65,92,,,,,,2024-08-05 16:36:22
16,sberbank/89068644446,СберБанк,"Красносельское ш., 54, корп. 3, территория Горелово, Санкт-Петербург",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:00-16:00, 'sun': выходной, ",59.792029,30.148800,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,66,38,,18,,,,,2024-08-05 16:36:22
17,sberbank/1056208411,СберБанк,"бул. Новаторов, 98, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:30-16:30, 'sun': 10:30-15:00, ",59.841116,30.253740,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,57,50,96,,,,,,2024-08-05 16:36:22
18,sberbank/1263754551,СберБанк,"Гражданский просп., 92, корп. 1, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",60.019131,30.402744,"4,2",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],63,27,7,,0,,,,,2024-08-05 16:36:22
19,sberbank/1096338817,СберБанк,"просп. Большевиков, 2, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:00-18:00, 'sun': 10:30-16:00, ",59.917890,30.473396,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",75,57,67,100,,40,,,,2024-08-05 16:36:22
20,sberbank/1045547626,СберБанк,"Комендантский просп., 30, корп. 1, Санкт-Петербург",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",60.015125,30.249464,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",68,60,94,90,25,,,,,2024-08-05 16:36:22
21,sberbank/1049511586,СберБанк,"Гражданский просп., 19, корп. 1, Санкт-Петербург",www.sberbank.ru,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-16:30, 'sun': выходной, ",60.004195,30.389890,"4,3",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,59,72,88,,,,,,2024-08-05 16:36:22
22,sberbank/1106442682,СберБанк,"просп. Елизарова, 11, Санкт-Петербург",www.sberbank.ru,"'mon': 09:30-20:00, 'tue': 09:30-20:00, 'wed': 09:30-20:00, 'thu': 09:30-20:00, 'fri': 09:30-20:00, 'sat': 10:00-16:00, 'sun': выходной, ",59.896910,30.424475,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,41,35,95,29,,,,,2024-08-05 16:36:22
23,sberbank/1122930001,СберБанк,"просп. Испытателей, 31, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",60.007520,30.270503,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,57,73,100,,,,,,2024-08-05 16:36:22
24,sberbank/1125605053,СберБанк,"Озёрная ул., 4, д. Новое Девяткино",www.sberbank.ru,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:00-16:00, 'sun': выходной, ",60.056787,30.476981,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",92,66,71,80,,,,,,2024-08-05 16:36:22
25,sberbank/1044162053,СберБанк,"ул. Севастьянова, 7, Санкт-Петербург",www.sberbank.ru,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': выходной, 'sun': выходной, ",59.874621,30.329092,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",69,55,86,88,61,,,,,2024-08-05 16:36:22
26,sberbank/1103647756,СберБанк,"Невский просп., 82, Санкт-Петербург",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",59.932735,30.349609,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,58,50,94,,,,,,2024-08-05 16:36:22
27,sberbank/1090671758,СберБанк,"Долгоозёрная ул., 16, корп. 1, Санкт-Петербург",,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-17:00, 'sun': выходной, ",60.018731,30.250759,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,59,71,100,17,,,,,2024-08-05 16:36:22
28,sberbank/1102567483,СберБанк,"просп. Авиаконструкторов, 21, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 10:30-19:30, 'tue': 10:30-19:30, 'wed': 10:30-19:30, 'thu': 10:30-19:30, 'fri': 10:30-19:30, 'sat': 11:00-15:30, 'sun': выходной, ",60.017679,30.238676,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",78,53,50,100,50,,,,,2024-08-05 16:36:22
29,sberbank/1023523463,СберБанк,"просп. Луначарского, 64А, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-21:00, 'tue': 10:00-21:00, 'wed': 10:00-21:00, 'thu': 10:00-21:00, 'fri': 10:00-21:00, 'sat': 10:00-19:00, 'sun': 10:00-19:00, ",60.040065,30.347974,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,48,40,100,71,,93,,,2024-08-05 16:36:22
30,sberbank/1642123270,СберБанк,"просп. Просвещения, 53, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-19:00, 'sun': выходной, ",60.042901,30.380915,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",73,45,60,89,,,,,,2024-08-05 16:36:22
31,sberbank/1027204699,СберБанк,"Большая Зеленина ул., 14/18А, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:30-16:30, 'sun': выходной, ",59.961629,30.291074,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",70,53,54,92,,,,,,2024-08-05 16:36:22
32,sberbank/30556296404,СберБанк,"Балканская площадь, 5АД, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:30-18:30, 'sun': выходной, ",59.828632,30.380257,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,77,73,100,,,,,,2024-08-05 16:36:22
33,sberbank/1092282104,СберБанк,"Будапештская ул., 92, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:00-16:30, 'sun': выходной, ",59.839737,30.396411,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,73,57,94,,,,,,2024-08-05 16:36:22
34,sberbank/1030930390,СберБанк,"Политехническая ул., 17, корп. 1, Санкт-Петербург",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-17:30, 'sun': выходной, ",59.999054,30.366191,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,61,83,100,36,,36,,,2024-08-05 16:36:22
35,sberbank/28304591277,СберБанк,"Ленинградская ул., 3, Кудрово",www.sberbank.ru,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 10:00-17:00, 'sun': выходной, ",59.912797,30.506266,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",80,60,74,94,,58,,74,,2024-08-05 16:36:22
36,sberbank/1053687046,СберБанк,"ул. Димитрова, 12, корп. 1, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-21:00, 'tue': 10:00-21:00, 'wed': 10:00-21:00, 'thu': 10:00-21:00, 'fri': 10:00-21:00, 'sat': 10:00-19:00, 'sun': 10:00-19:00, ",59.847359,30.380808,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,41,52,88,48,,67,,,2024-08-05 16:36:22
37,sberbank/1286042498,СберБанк,"просп. Просвещения, 32, корп. 1, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:30-18:00, 'sun': 10:30-16:00, ",60.054092,30.331606,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",76,53,56,96,,,,,,2024-08-05 16:36:22
38,sberbank/186139030206,СберБанк,"просп. Авиаторов Балтики, 7, Мурино",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:30-17:00, 'sun': 11:00-16:00, ",60.052326,30.438587,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",70,60,70,90,55,47,,82,,2024-08-05 16:36:22
39,sberbank/1120109931,СберБанк,"Московский просп., 220, лит.А, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-20:30, 'tue': 10:00-20:30, 'wed': 10:00-20:30, 'thu': 10:00-20:30, 'fri': 10:00-20:30, 'sat': 10:00-19:00, 'sun': 10:00-17:30, ",59.846839,30.322510,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/bankdruzey']",71,46,52,92,80,48,,68,,2024-08-05 16:36:22
40,sberbank/1191888272,СберБанк,"Ленинский просп., 95, корп. 1, Санкт-Петербург",www.sberbank.ru,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 09:30-18:00, 'sun': выходной, ",59.852861,30.214636,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",74,64,83,91,60,,,,,2024-08-05 16:36:22
41,sberbank/1017130951,СберБанк,"ул. Ярослава Гашека, 9, корп. 1, Санкт-Петербург",www.sberbank.ru,"'mon': 09:30-19:30, 'tue': 09:30-19:30, 'wed': 09:30-19:30, 'thu': 09:30-19:30, 'fri': 09:30-19:30, 'sat': 10:00-18:00, 'sun': выходной, ",59.831399,30.388650,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",69,57,65,100,,,,,,2024-08-05 16:36:22
42,sberbank/213043250041,СберБанк,"ул. Пограничника Гарькавого, 33, Санкт-Петербург",www.sberbank.ru,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-17:30, 'sun': выходной, ",59.833891,30.146213,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,50,50,83,44,,77,,,2024-08-05 16:36:22
43,sberbank/147513585970,СберБанк,"Народная ул., 2, Санкт-Петербург",www.sberbank.ru,"'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': 11:00-16:30, ",59.880016,30.456985,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,69,92,82,75,,,,,2024-08-05 16:36:22
44,sberbank/1197015470,СберБанк,"просп. Авиаконструкторов, 47, Санкт-Петербург",www.sberbank.com,"'mon': 10:30-19:30, 'tue': 10:30-19:30, 'wed': выходной, 'thu': 10:30-19:30, 'fri': 10:30-19:30, 'sat': выходной, 'sun': выходной, ",60.027112,30.225398,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,70,72,92,36,,,,,2024-08-05 16:36:22
45,sberbank/196519209121,СберБанк,"просп. Косыгина, 27, корп. 1, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-17:00, 'sun': выходной, ",59.944711,30.494462,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",73,64,,,,,,,,2024-08-05 16:36:22
46,sberbank/1086054702,СберБанк,"просп. Культуры, 22, корп. 1, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",60.046998,30.374429,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",86,69,63,100,,,,,,2024-08-05 16:36:22
47,sberbank/211764039930,СберБанк,"ул. Тельмана, 48, корп. 1, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",59.893186,30.483224,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",97,84,82,100,,,,,,2024-08-05 16:36:22
48,sberbank/1062530703,СберБанк,"Земский пер., 11, корп. 1, Санкт-Петербург",,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-16:30, 'sun': выходной, ",60.025772,30.290716,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,55,58,94,,,,,,2024-08-05 16:36:22
49,sberbank/127660127497,СберБанк,"ул. Бабушкина, 111, Санкт-Петербург",,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",59.865239,30.452915,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,56,4,100,4,,,,,2024-08-05 16:36:22
50,sberbank/64641555572,СберБанк,"просп. Большевиков, 9, корп. 1, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 11:00-16:00, 'sun': выходной, ",59.914268,30.474457,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,77,,100,,,,,,2024-08-05 16:36:22
51,sberbank/1089025337,СберБанк,"Ленинский просп., 129, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:30-18:00, 'sun': 10:30-18:00, ",59.851381,30.270045,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",72,54,50,88,67,68,,69,,2024-08-05 16:36:22
52,sberbank/1061840370,СберБанк,"Лиговский просп., 30, Санкт-Петербург",,"'mon': 10:00-21:00, 'tue': 10:00-21:00, 'wed': 10:00-21:00, 'thu': 10:00-21:00, 'fri': 10:00-21:00, 'sat': 10:00-21:00, 'sun': 10:00-21:00, ",59.927563,30.360613,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",68,40,67,95,85,,,,,2024-08-05 16:36:22
53,sberbank/1165450400,СберБанк,"Прибрежная ул., 8, корп. 1, Санкт-Петербург",www.sberbank.ru,"'mon': 09:30-19:00, 'tue': 09:30-19:00, 'wed': 09:30-19:00, 'thu': 09:30-19:00, 'fri': 09:30-19:00, 'sat': 10:00-17:30, 'sun': 11:00-16:00, ",59.834719,30.508683,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,64,92,86,75,,73,,,2024-08-05 16:36:22
54,sberbank/110265406586,СберБанк,"Муринская дорога, 53, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-19:30, 'tue': 10:00-19:30, 'wed': 10:00-19:30, 'thu': 10:00-19:30, 'fri': 10:00-19:30, 'sat': 11:00-17:00, 'sun': выходной, ",60.032101,30.458996,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,61,68,96,,,,,,2024-08-05 16:36:22
55,sberbank/112730742514,СберБанк,"ш. Революции, 37, корп. 1, Санкт-Петербург",www.sberbank.com,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-18:30, 'sun': выходной, ",59.959634,30.434275,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sber', 'https://t.me/s/sberbank', 'https://vk.com/sber']",73,47,65,100,31,,,,,2024-08-05 16:36:22
56,sberbank/191740778488,СберБанк,"Торфяная дорога, 7, лит.А, Санкт-Петербург",www.sberbank.ru,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:30-16:00, 'sun': выходной, ",59.989360,30.256696,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,64,88,87,,,,,,2024-08-05 16:36:22
