,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Банкомат,Время ожидания,График работы,Персонал,Расположение,Кредит,Ипотека,Ремонт,load_time
10,sberbank/1252510678,СберБанк,"просп. Ленинского Комсомола, 3, Видное",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-17:00, 'sun': выходной, ",55.547724,37.714097,"4,8",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",60,61,61,83,97,,,,2024-08-05 00:13:21
11,sberbank/1550949270,СберБанк,"8, микрорайон Родники, посёлок Знамя Октября",www.sberbank.com,"'mon': 09:00-19:30, 'tue': 09:00-19:30, 'wed': 09:00-19:30, 'thu': 09:00-19:30, 'fri': 09:00-19:30, 'sat': 09:30-16:30, 'sun': выходной, ",55.467586,37.544944,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",36,73,27,87,67,,,,2024-08-05 00:13:21
12,sberbank/97135478607,СберБанк,"Железнодорожная ул., 44, Щербинка",,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-19:00, 'sun': 10:00-18:00, ",55.498990,37.567922,"4,9",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",73,69,,80,89,,,,2024-08-05 00:13:21
13,sberbank/1101057062,СберБанк,"бул. Адмирала Ушакова, 5, Москва",,"'mon': 08:30-20:00, 'tue': 08:30-20:00, 'wed': 08:30-20:00, 'thu': 08:30-20:00, 'fri': 08:30-20:00, 'sat': 09:00-17:00, 'sun': 09:00-15:00, ",55.546914,37.552633,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",87,70,93,79,98,,,,2024-08-05 00:13:21
14,sberbank/54944782791,СберБанк,"Старокачаловская ул., 5А, Москва",,"'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': 10:00-15:00, ",55.569851,37.579053,"4,9",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],72,67,82,86,85,,,,2024-08-05 00:13:21
15,sberbank/1222437110,СберБанк,"Февральская ул., 57, Подольск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:00, 'sun': выходной, ",55.431923,37.548654,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",49,49,40,80,85,,,61,2024-08-05 00:13:21
16,sberbank/1361337507,СберБанк,"ул. Циолковского, 10/6, Подольск",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 09:30-13:30, 'sun': выходной, ",55.399213,37.556739,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",29,51,,80,85,,,69,2024-08-05 00:13:21
17,sberbank/1001085265,СберБанк,"Советская ул., 2Б, Видное",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-14:30, 'sun': выходной, ",55.552566,37.700622,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",59,73,90,81,96,,,,2024-08-05 00:13:21
18,sberbank/1225389159,СберБанк,"ул. Ульяновых, 1, Подольск",www.sberbank.ru,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",55.434414,37.564880,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",57,71,,84,86,,,,2024-08-05 00:13:21
19,sberbank/1025767099,СберБанк,"Старокачаловская ул., 1, корп. 1, Москва",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.568314,37.587640,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://t.me/sberbank', 'https://vk.com/sberbank']",63,67,50,77,80,64,81,,2024-08-05 00:13:21
20,sberbank/1100986746,СберБанк,"Советская ул., 34А, Видное",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",55.548564,37.701466,"4,9",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber/', 'https://vk.com/sberbank']",73,77,35,81,61,67,69,,2024-08-05 00:13:21
21,sberbank/35018678745,СберБанк,"ул. Красного Маяка, 2Б, Москва",,"'mon': 10:30-20:30, 'tue': 10:30-20:30, 'wed': 10:30-20:30, 'thu': 10:30-20:30, 'fri': 10:30-20:30, 'sat': 10:30-19:30, 'sun': 10:30-19:30, ",55.611119,37.606622,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",66,58,80,76,97,,,,2024-08-05 00:13:21
22,sberbank/1149986837,СберБанк,"ул. Свердлова, 9, Подольск",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:30, 'sun': выходной, ",55.426580,37.542024,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",64,72,73,82,95,,,,2024-08-05 00:13:21
23,sberbank/84941437349,СберБанк,"Бирюлёвская ул., 37, корп. 1, Москва",,"'mon': 08:30-19:30, 'tue': 08:30-19:30, 'wed': 08:30-19:30, 'thu': 08:30-19:30, 'fri': 08:30-19:30, 'sat': 09:30-16:00, 'sun': выходной, ",55.588654,37.665309,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",61,71,78,82,89,,,,2024-08-05 00:13:21
24,sberbank/169251836554,СберБанк,"Центральная ул., 22, посёлок Володарского",,"'mon': выходной, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-13:00, 'sun': выходной, ",55.501825,37.945961,"3,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",0,21,,63,,,,,2024-08-05 00:13:21
