,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Банкомат,Расположение,Ремонт,Кредит,График работы,Ипотека,load_time
10,sberbank/1045197860,СберБанк,"ул. 20-летия Октября, 90Б, Воронеж",www.sberbank.ru,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 08:30-18:00, 'fri': 09:00-18:00, 'sat': 09:00-15:00, 'sun': выходной, ",51.655322,39.189022,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/Sber_Business_Live_bot', 'https://vk.com/careersber']",75,64,69,93,,,,,2024-08-04 22:34:51
11,sberbank/1033495395,СберБанк,"Электровозная ул., 25Б, Воронеж",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",51.735180,39.290963,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",76,68,76,100,,,,,2024-08-04 22:34:51
12,sberbank/1007628747,СберБанк,"Клинская ул., 1, Воронеж",,"'mon': 08:30-17:30, 'tue': 08:30-17:30, 'wed': 08:30-17:30, 'thu': 08:30-17:30, 'fri': 08:30-17:30, 'sat': выходной, 'sun': выходной, ",51.662524,39.276833,"4,2",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank', 'https://www.youtube.com/channel/UCM4aBRnEiNCf9fQFl2qx2Bg']",78,51,7,,,,0,,2024-08-04 22:34:51
13,sberbank/227951327559,СберБанк,"ул. Туполева, 27А, Воронеж",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",51.636583,39.272233,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,58,28,85,,,,,2024-08-04 22:34:51
14,sberbank/161169447656,СберБанк,"ул. Ворошилова, 8Б, Воронеж",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-15:00, 'sun': выходной, ",51.656831,39.182016,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,67,71,93,,69,50,75,2024-08-04 22:34:51
15,sberbank/1025356241,СберБанк,"ул. Шишкова, 65, Воронеж",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",51.701186,39.195669,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",73,72,61,100,72,8,,,2024-08-04 22:34:51
16,sberbank/90735928531,СберБанк,"ул. Маршала Жукова, 12А, Воронеж",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",51.714979,39.174020,"4,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",77,77,91,100,,,86,,2024-08-04 22:34:51
17,sberbank/1014876194,СберБанк,"Минская ул., 1, Воронеж",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-16:00, 'sun': выходной, ",51.681508,39.255291,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",68,39,21,,63,,11,,2024-08-04 22:34:51
18,sberbank/1107933999,СберБанк,"Московский просп., 11, Воронеж",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 10:00-14:00, 'sun': выходной, ",51.689728,39.182627,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",68,55,40,,,,38,,2024-08-04 22:34:51
19,sberbank/1109364360,СберБанк,"ул. Ломоносова, 114/10, Воронеж",,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-13:00, 'sun': выходной, ",51.726334,39.199568,"4,4",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sber', 'https://t.me/sberbank', 'https://vk.com/sberbank']",74,60,39,86,53,,8,,2024-08-04 22:34:51
20,sberbank/1053326459,СберБанк,"Ростовская ул., 58/24, Воронеж",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",51.603272,39.237935,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",82,71,81,100,,,,,2024-08-04 22:34:51
21,sberbank/1073894668,СберБанк,"ул. Ленина, 73, Воронеж",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",51.683926,39.216313,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",79,69,36,100,,,,,2024-08-04 22:34:51
22,sberbank/1108051627,СберБанк,"ул. Феоктистова, 6, Воронеж",,"'mon': 09:30-18:30, 'tue': 09:30-18:30, 'wed': 09:30-18:30, 'thu': 09:30-18:30, 'fri': 09:30-18:30, 'sat': 10:30-15:00, 'sun': выходной, ",51.675919,39.207681,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",67,50,57,91,,,,,2024-08-04 22:34:51
23,sberbank/1887485279,СберБанк,"ул. Генерала Лизюкова, 60, Воронеж",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-16:30, 'sun': 09:00-15:30, ",51.706129,39.149613,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,62,56,100,,,,,2024-08-04 22:34:51
24,sberbank/1106973185,СберБанк,"Плехановская ул., 12, Воронеж",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",51.662367,39.199686,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",75,45,64,100,,,,,2024-08-04 22:34:51
25,sberbank/1086491252,СберБанк,"Дачный просп., 15, Воронеж",,"'mon': 09:00-17:30, 'tue': 09:00-17:30, 'wed': 09:00-17:30, 'thu': 09:00-17:30, 'fri': 09:00-17:30, 'sat': выходной, 'sun': выходной, ",51.742417,39.369633,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,36,8,,,,0,,2024-08-04 22:34:51
26,sberbank/220776495529,СберБанк,"Московский просп., 5, Воронеж",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",51.679638,39.184163,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",87,79,50,,,,,,2024-08-04 22:34:51
27,sberbank/1041815484,СберБанк,"бул. Победы, 22А, Воронеж",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",51.713389,39.167067,"4,5",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",80,66,74,83,,,43,,2024-08-04 22:34:51
28,sberbank/1033834787,СберБанк,"ул. Хользунова, 76, Воронеж",www.sberbank.com,"'mon': 08:30-18:30, 'tue': 08:30-18:30, 'wed': 08:30-18:30, 'thu': 08:30-18:30, 'fri': 08:30-18:30, 'sat': 09:00-13:00, 'sun': выходной, ",51.702484,39.164246,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",67,34,21,85,87,,,,2024-08-04 22:34:51
29,sberbank/1003036887,СберБанк,"Беговая ул., 217, Воронеж",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-15:00, 'sun': выходной, ",51.696567,39.142112,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",81,71,74,90,,,93,,2024-08-04 22:34:51
30,sberbank/101011869882,СберБанк,"ул. 9 Января, 133, Воронеж",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-13:00, 'sun': выходной, ",51.673539,39.149578,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",78,64,65,100,,,73,,2024-08-04 22:34:51
31,sberbank/78462796520,СберБанк,"ул. 9 Января, 233/35, Воронеж",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-19:30, 'sun': выходной, ",51.681559,39.123795,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sber_students_bot', 'https://vk.com/sber']",81,64,50,97,,,,,2024-08-04 22:34:51
32,sberbank/140681853782,СберБанк,"Краснозвёздная ул., 42, Воронеж",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",51.654218,39.117303,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",81,65,66,94,,,67,,2024-08-04 22:34:51
33,sberbank/96238997695,СберБанк,"ул. Героев Сибиряков, 65А, Воронеж",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:30-14:30, 'sun': выходной, ",51.646068,39.138779,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",80,84,73,100,,,,,2024-08-04 22:34:51
34,sberbank/1043796402,СберБанк,"ул. Молодогвардейцев, 8, Воронеж",,"'mon': 08:30-18:00, 'tue': 08:30-18:00, 'wed': 08:30-18:00, 'thu': 08:30-18:00, 'fri': 08:30-18:00, 'sat': 09:00-14:00, 'sun': выходной, ",51.649756,39.126967,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",84,60,38,84,74,,33,,2024-08-04 22:34:51
35,sberbank/1120331374,СберБанк,"ул. Ворошилова, 49, Воронеж",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.647487,39.157132,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",81,69,76,100,,,,,2024-08-04 22:34:51
36,sberbank/1004284688,СберБанк,"Новосибирская ул., 32, Воронеж",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",51.612093,39.236714,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",92,75,45,80,,,,,2024-08-04 22:34:51
37,sberbank/1074001371,СберБанк,"ул. Матросова, 6Б, Воронеж",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",51.635745,39.173679,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,60,26,64,80,,10,,2024-08-04 22:34:51
38,sberbank/1076712696,СберБанк,"ул. Владимира Невского, 24А, Воронеж",,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 09:00-14:00, 'sun': выходной, ",51.709591,39.151495,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",93,74,91,95,,,,,2024-08-04 22:34:51
39,sberbank/153178195202,СберБанк,"Острогожская ул., 170/7, Воронеж",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",51.564887,39.119709,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",71,45,6,94,,,,,2024-08-04 22:34:51
40,sberbank/1012818515,СберБанк,"бул. Пионеров, 11, Воронеж",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.655630,39.153395,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",66,56,64,,94,,,,2024-08-04 22:34:51
41,sberbank/184982491463,СберБанк,"бул. Победы, 22А, Воронеж",,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.713389,39.167067,"4,7",['8 (800) 555-55-50Показать телефон'],"['https://ok.ru/sberbank', 'https://vk.com/sberbank']",83,81,,91,,,,,2024-08-04 22:34:51
42,sberbank/186099048660,СберБанк,"ул. Чапаева, 29, корп. 1, Семилуки",,"'mon': 08:00-17:30, 'tue': 08:00-17:30, 'wed': 08:00-17:30, 'thu': 08:00-17:30, 'fri': 08:00-17:30, 'sat': 08:30-13:00, 'sun': выходной, ",51.695562,39.020444,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",74,71,,85,,,,,2024-08-04 22:34:51
43,sberbank/40135134554,СберБанк,"ул. 232-й Стрелковой Дивизии, 45Б, микрорайон Придонской, Воронеж",,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:30-13:30, 'sun': выходной, ",51.682603,39.087863,"4,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://t.me/sberbank', 'https://vk.com/sberbank']",85,73,52,69,,,,,2024-08-04 22:34:51
44,sberbank/72354018761,СберБанк,"ул. Мира, 23А, село Новоживотинное",,"'mon': 08:00-15:45, 'tue': 08:00-15:45, 'wed': 08:00-15:45, 'thu': 08:00-15:45, 'fri': 08:00-15:45, 'sat': выходной, 'sun': выходной, ",51.886203,39.171586,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-04 22:34:51
45,sberbank/215262523253,СберБанк,"Школьная ул., 23, посёлок 1-го отделения совхоза ""Масловский""",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': 08:00-17:15, 'sat': выходной, 'sun': выходной, ",51.535546,39.339481,"3,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-04 22:34:51
46,sberbank/1763415911,СберБанк,"ул. 9 Января, 21А, Семилуки",,"'mon': 08:30-17:00, 'tue': 08:30-17:00, 'wed': 08:30-17:00, 'thu': 08:30-17:00, 'fri': 08:30-17:00, 'sat': выходной, 'sun': выходной, ",51.682988,39.035060,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",87,80,,,,,,,2024-08-04 22:34:51
47,sberbank/147251233656,СберБанк,"ул. Ленина, 71, село Ямное",,"'mon': 08:45-18:00, 'tue': 08:45-18:00, 'wed': 08:45-18:00, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.790393,39.154015,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-04 22:34:51
48,sberbank/1178964174,СберБанк,"Советская ул., 3, посёлок Воля",www.sberbank.com,"'mon': выходной, 'tue': 08:00-16:00, 'wed': 08:00-16:00, 'thu': 08:00-16:00, 'fri': 08:00-16:00, 'sat': 08:00-12:30, 'sun': выходной, ",51.766510,39.531945,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-04 22:34:51
49,sberbank/1109719367,СберБанк,"ул. Генерала Лохматикова, 29, Воронеж",,"'mon': 08:30-16:30, 'tue': 08:30-16:30, 'wed': 08:30-16:30, 'thu': 08:30-16:30, 'fri': 08:30-16:30, 'sat': 08:30-12:30, 'sun': выходной, ",51.879137,39.582888,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-04 22:34:51
50,sberbank/1149296195,СберБанк,"ул. Ломоносова, 198Б, село Углянец",,"'mon': выходной, 'tue': 08:00-12:30, 'wed': 08:00-12:30, 'thu': 08:00-15:10, 'fri': 08:00-15:45, 'sat': 09:00-13:30, 'sun': выходной, ",51.818472,39.580301,"4,0",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-04 22:34:51
51,sberbank/1101071896,СберБанк,"Транспортная ул., 47, село Семилуки",www.sberbank.ru,"'mon': 08:30-15:30, 'tue': 08:30-15:30, 'wed': 08:30-15:30, 'thu': 08:30-15:30, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.724984,39.035401,"4,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-04 22:34:51
52,sberbank/1015836212,СберБанк,"ул. Свободы, 68, село Орлово",,"'mon': 08:30-16:15, 'tue': 08:30-16:15, 'wed': 08:30-16:15, 'thu': 08:30-16:15, 'fri': 08:30-12:45, 'sat': выходной, 'sun': выходной, ",51.766850,39.590659,"3,1",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-04 22:34:51
53,sberbank/9994766440,СберБанк,"Советская ул., 94, село Рогачёвка",,"'mon': выходной, 'tue': 08:00-17:15, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.501409,39.541917,"3,6",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,,2024-08-04 22:34:51
54,sberbank/1269868253,СберБанк,"ул. Мира, 15, село Новогремяченское",,"'mon': 09:30-14:45, 'tue': 09:30-14:45, 'wed': 09:30-14:45, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",51.535366,39.050278,"3,3",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,,2024-08-04 22:34:51
55,sberbank/1018341796,СберБанк,"Центральная ул., 2, д. Михайловка",www.sberbank.ru,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': 08:30-16:00, 'sat': выходной, 'sun': выходной, ",51.505423,39.671409,"4,0",['8 (800) 555-55-50Показать телефон'],['https://vk.com/sberbank'],,,,,,,,,2024-08-04 22:34:51
