,ID,name,address,website,opening_hours,lat,lon,rating,phone,social,Персонал,Время ожидания,Кредит,Ипотека,Расположение,Банкомат,График работы,load_time
10,sberbank/1067768644,СберБанк,"Удмуртская ул., 265/1, Ижевск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': 10:00-14:00, 'sun': выходной, ",56.877061,53.221120,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,71,,,,,,2024-07-29 02:00:06
11,sberbank/1098524878,СберБанк,"ул. имени Репина, 30, Ижевск",www.sberbank.com,"'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной, ",56.863941,53.232735,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",72,42,,,,39,,2024-07-29 02:00:06
12,sberbank/1048947027,СберБанк,"Восточная ул., 8А, Ижевск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",56.836402,53.238889,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",89,68,,,,,,2024-07-29 02:00:06
13,sberbank/1080407410,СберБанк,"Молодёжная ул., 33, Ижевск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-14:00, 'sun': выходной, ",56.852643,53.290730,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,73,,,100,93,,2024-07-29 02:00:06
14,sberbank/1057583937,СберБанк,"Клубная ул., 27, Ижевск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-13:30, 'sun': выходной, ",56.830419,53.147773,"4,5",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",85,64,,,100,62,,2024-07-29 02:00:06
15,sberbank/212020936984,СберБанк,"Клубная ул., 59, Ижевск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:00-13:30, 'sun': выходной, ",56.829064,53.135663,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",83,70,,,,80,,2024-07-29 02:00:06
16,sberbank/1134241440,СберБанк,"ул. Азина, 143, Ижевск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': 09:00-13:00, 'sun': выходной, ",56.818146,53.179572,"4,7",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,45,,,100,62,,2024-07-29 02:00:06
17,sberbank/1048996234,СберБанк,"ул. Гагарина, 27Б, Ижевск",www.sberbank.com,"'mon': 09:00-18:30, 'tue': 09:00-18:30, 'wed': 09:00-18:30, 'thu': 09:00-18:30, 'fri': 09:00-18:30, 'sat': выходной, 'sun': выходной, ",56.801395,53.186050,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",80,45,,,91,55,,2024-07-29 02:00:06
18,sberbank/1022919601,СберБанк,"ул. Ворошилова, 53, Ижевск",www.sberbank.com,"'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 09:30-13:30, 'sun': выходной, ",56.877243,53.269342,"4,4",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",77,63,,,88,54,,2024-07-29 02:00:06
19,sberbank/1010683682,СберБанк,"ул. Тимирязева, 5А, Ижевск",www.sberbank.com,"'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной, ",56.867656,53.243443,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",76,64,,,,,,2024-07-29 02:00:06
20,sberbank/1109555472,СберБанк,"ул. Чкалова, 22, село Завьялово",www.sberbank.com,"'mon': 08:30-16:45, 'tue': 08:30-16:45, 'wed': 08:30-16:45, 'thu': 08:30-16:45, 'fri': 08:30-16:45, 'sat': выходной, 'sun': выходной, ",56.788362,53.376627,"4,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",86,71,,,,6,,2024-07-29 02:00:06
21,sberbank/204918077480,СберБанк,"Юбилейная ул., 9, д. Якшур",www.sberbank.com,"'mon': выходной, 'tue': 07:50-17:15, 'wed': выходной, 'thu': выходной, 'fri': 07:50-17:15, 'sat': выходной, 'sun': выходной, ",56.886558,53.433518,"3,9",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 02:00:06
22,sberbank/55766531616,СберБанк,"Трактовая ул., 5А, село Яган-Докья",www.sberbank.com,"'mon': выходной, 'tue': 08:45-16:15, 'wed': 08:45-16:15, 'thu': 08:45-16:15, 'fri': 08:15-15:45, 'sat': выходной, 'sun': выходной, ",56.580957,53.223860,"3,8",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 02:00:06
23,sberbank/48455020397,СберБанк,"Центральная ул., 1, село Бабино",www.sberbank.com,"'mon': выходной, 'tue': выходной, 'wed': выходной, 'thu': выходной, 'fri': выходной, 'sat': выходной, 'sun': выходной, ",56.650869,53.465166,"2,3",['8 (800) 555-55-50Показать телефон'],"['http://ok.ru/sberbank', 'https://vk.com/sberbank']",,,,,,,,2024-07-29 02:00:06
